iterations,fitness,time,fevals
0,43.0,0.00049049,566
10,49.0,0.00091029,1047
20,51.0,0.001295789,1528
30,56.0,0.0016853,2017
40,54.0,0.002063078,2496
50,58.0,0.002446388,2982
60,61.0,0.002849802,3472
70,65.0,0.003212867,3962
80,65.0,0.003567349,4445
90,62.0,0.003948772,4930
100,65.0,0.004310762,5413
110,67.0,0.004667624,5882
120,71.0,0.005020332,6371
130,71.0,0.005354473,6854
140,74.0,0.005703071,7330
150,72.0,0.006066346,7820
160,72.0,0.006423256,8290
170,73.0,0.006787947,8776
180,75.0,0.007125767,9246
190,75.0,0.007470893,9725
200,76.0,0.007779136,10206
210,77.0,0.008099974,10698
220,77.0,0.00857,11193
230,80.0,0.008942974,11684
240,81.0,0.009271934,12155
250,77.0,0.00962877,12632
260,75.0,0.009963859,13130
270,78.0,0.010328778,13605
280,80.0,0.010727703,14079
290,82.0,0.011196885,14561
300,76.0,0.01160637,15045
310,74.0,0.011921137,15519
320,76.0,0.012233779,16003
330,77.0,0.012584891,16499
340,78.0,0.012921679,16996
350,78.0,0.013254055,17464
360,77.0,0.013572647,17954
370,76.0,0.01390504,18439
380,80.0,0.014228075,18924
390,79.0,0.014531572,19411
400,80.0,0.014841751,19890
410,80.0,0.015140604,20371
420,80.0,0.023826146,20847
430,85.0,0.024353561,21335
440,82.0,0.024860173,21817
450,85.0,0.025316663,22296
460,82.0,0.025764733,22783
470,82.0,0.026102545,23270
480,85.0,0.026445541,23765
490,82.0,0.026779352,24248
500,85.0,0.027111487,24732
510,85.0,0.027466189,25218
520,85.0,0.027791035,25705
530,85.0,0.02812317,26194
540,85.0,0.0284916,26669
550,88.0,0.028824716,27167
560,88.0,0.029139711,27651
570,88.0,0.029467948,28132
580,88.0,0.02978234,28614
590,82.0,0.030122364,29100
600,85.0,0.030461164,29583
610,83.0,0.030837735,30068
620,88.0,0.031176917,30550
630,86.0,0.031491076,31027
640,88.0,0.031807479,31515
650,86.0,0.032111446,31998
660,86.0,0.032420973,32473
670,83.0,0.032777972,32947
680,85.0,0.033125875,33438
690,83.0,0.033481831,33924
700,85.0,0.033835002,34417
710,83.0,0.034200127,34898
720,85.0,0.034527274,35376
730,88.0,0.034860328,35866
740,86.0,0.035191883,36366
750,88.0,0.035509357,36848
760,88.0,0.035845138,37331
770,88.0,0.03617172,37805
780,88.0,0.036516894,38284
790,86.0,0.036843445,38768
800,86.0,0.037159762,39255
810,84.0,0.037517872,39726
820,85.0,0.037842443,40207
830,87.0,0.038171781,40686
840,85.0,0.038497617,41171
850,82.0,0.038810109,41643
860,84.0,0.039125067,42127
870,83.0,0.039436983,42614
880,83.0,0.039752752,43097
890,84.0,0.040079694,43584
900,82.0,0.040385779,44066
910,82.0,0.040691685,44553
920,82.0,0.040996852,45039
930,82.0,0.041307706,45528
940,83.0,0.041678768,46003
950,83.0,0.041994582,46493
960,82.0,0.042304143,46967
970,81.0,0.042766451,47464
980,81.0,0.043297023,47946
990,81.0,0.043852667,48407
1000,83.0,0.044280953,48887
1010,83.0,0.04475079,49369
1020,82.0,0.045263977,49842
1030,84.0,0.045702337,50320
1040,84.0,0.046082605,50808
1050,84.0,0.046504281,51292
1060,84.0,0.046825248,51764
1070,84.0,0.047208095,52252
1080,84.0,0.047569889,52741
1090,84.0,0.047964156,53235
1100,84.0,0.048449017,53717
1110,84.0,0.049010879,54194
1120,84.0,0.049461131,54693
1130,84.0,0.049924221,55167
1140,83.0,0.050276274,55643
1150,81.0,0.050595302,56126
1160,81.0,0.050906796,56605
1170,84.0,0.051223933,57096
1180,81.0,0.051586478,57581
1190,83.0,0.051901675,58055
1200,84.0,0.052219546,58535
1210,76.0,0.052537686,59024
1220,81.0,0.052860382,59505
1230,76.0,0.053178706,59997
1240,81.0,0.05348438,60478
1250,81.0,0.053783493,60966
1260,83.0,0.05408635,61446
1270,83.0,0.054399695,61922
1280,80.0,0.054714116,62401
1290,83.0,0.05506707,62886
1300,86.0,0.055384755,63374
1310,86.0,0.055702657,63859
1320,83.0,0.056024127,64342
1330,86.0,0.056337611,64821
1340,86.0,0.056646873,65300
1350,84.0,0.05695379,65780
1360,84.0,0.057273583,66274
1370,83.0,0.057597029,66763
1380,81.0,0.057903515,67236
1390,83.0,0.058225604,67716
1400,83.0,0.058540862,68208
1410,86.0,0.058844711,68682
1420,85.0,0.059147058,69154
1430,86.0,0.059453824,69637
1440,85.0,0.059757631,70113
1450,85.0,0.060199202,70599
1460,85.0,0.060675131,71082
1470,82.0,0.061106096,71567
1480,83.0,0.061543129,72058
1490,86.0,0.06197279,72551
1500,82.0,0.062405318,73038
1510,83.0,0.062849143,73527
1520,86.0,0.063472163,74014
1530,86.0,0.063809118,74497
1540,86.0,0.064135988,74965
1550,87.0,0.064474122,75444
1560,83.0,0.064844087,75929
1570,83.0,0.065174309,76414
1580,83.0,0.065707108,76890
1590,83.0,0.066049488,77360
1600,83.0,0.066415114,77840
1610,85.0,0.066756459,78315
1620,87.0,0.067088908,78805
1630,86.0,0.067416233,79295
1640,83.0,0.067747341,79778
1650,85.0,0.068071214,80255
1660,88.0,0.068416064,80737
1670,86.0,0.068736949,81221
1680,88.0,0.069051399,81705
1690,87.0,0.069401716,82197
1700,85.0,0.069730167,82688
1710,84.0,0.070072301,83175
1720,84.0,0.070398225,83650
1730,86.0,0.070732682,84134
1740,87.0,0.071065,84624
1750,87.0,0.071494009,85105
1760,87.0,0.071887468,85579
1770,84.0,0.0723247,86051
1780,84.0,0.072715753,86526
1790,84.0,0.073141561,87009
1800,83.0,0.073581739,87483
1810,81.0,0.07392751,87961
1820,84.0,0.074269954,88443
1830,81.0,0.074625368,88940
1840,87.0,0.074945686,89429
1850,82.0,0.075253202,89906
1860,82.0,0.075557592,90381
1870,79.0,0.07586187,90863
1880,78.0,0.076164664,91347
1890,81.0,0.076464432,91814
1900,81.0,0.076772567,92289
1910,79.0,0.077112881,92771
1920,82.0,0.077420477,93257
1930,75.0,0.077717053,93733
1940,78.0,0.078015241,94217
1950,77.0,0.07833911,94702
1960,76.0,0.078674752,95202
1970,80.0,0.079010586,95681
1980,82.0,0.07932847,96158
1990,88.0,0.079640213,96644
2000,88.0,0.080059577,97109
2010,88.0,0.080376298,97596
2020,88.0,0.080685605,98080
2030,85.0,0.080987259,98563
2040,88.0,0.081340545,99033
2050,88.0,0.081648754,99508
2060,88.0,0.081994369,99998
2070,88.0,0.082313302,100487
2080,85.0,0.082617296,100972
2090,85.0,0.082922181,101469
2100,84.0,0.083225913,101940
2110,86.0,0.083529813,102419
2120,86.0,0.083837998,102906
2130,87.0,0.084156004,103389
2140,85.0,0.084471962,103872
2150,84.0,0.084784767,104369
2160,80.0,0.085091516,104845
2170,82.0,0.08539271,105327
2180,86.0,0.085693897,105798
2190,82.0,0.085994875,106277
2200,82.0,0.086299543,106770
2210,81.0,0.086601416,107244
2220,86.0,0.086908126,107733
2230,85.0,0.08722095,108231
2240,85.0,0.087522607,108718
2250,85.0,0.087823499,109221
2260,82.0,0.088116713,109708
2270,79.0,0.088415808,110191
2280,82.0,0.088716489,110675
2290,82.0,0.089036399,111151
2300,85.0,0.089346268,111634
2310,88.0,0.089647357,112103
2320,85.0,0.089941971,112582
2330,88.0,0.090244698,113070
2340,88.0,0.090547652,113562
2350,85.0,0.090923508,114038
2360,85.0,0.091565454,114526
2370,85.0,0.091945504,115004
2380,85.0,0.092328641,115486
2390,85.0,0.092710886,115975
2400,87.0,0.093105698,116451
2410,87.0,0.093454904,116937
2420,85.0,0.093803095,117419
2430,82.0,0.094118515,117911
2440,85.0,0.094434958,118390
2450,83.0,0.094740091,118860
2460,82.0,0.095060996,119340
2470,88.0,0.095471929,119836
2480,88.0,0.095923213,120323
2490,88.0,0.096560889,120815
2500,87.0,0.096961452,121293
2510,86.0,0.097317704,121778
2520,86.0,0.097618287,122252
2530,88.0,0.097926694,122739
2540,88.0,0.098233678,123226
2550,86.0,0.098590502,123707
2560,86.0,0.09890399,124192
2570,86.0,0.099208621,124681
2580,85.0,0.099513419,125172
2590,86.0,0.09981631,125640
2600,88.0,0.100121126,126129
2610,88.0,0.100436094,126620
2620,86.0,0.100802935,127114
2630,89.0,0.101109737,127590
2640,89.0,0.101415666,128069
2650,89.0,0.101725117,128544
2660,89.0,0.102062022,129031
2670,92.0,0.102369758,129510
2680,92.0,0.102741306,129994
2690,92.0,0.103049439,130485
2700,89.0,0.103365667,130975
2710,86.0,0.103684638,131453
2720,88.0,0.103997377,131936
2730,84.0,0.104343815,132414
2740,86.0,0.10467091,132897
2750,88.0,0.10502389,133370
2760,85.0,0.105399477,133860
2770,88.0,0.105719616,134350
2780,86.0,0.106040175,134826
2790,87.0,0.106346413,135299
2800,86.0,0.106665354,135788
2810,86.0,0.106978665,136265
2820,85.0,0.107333853,136752
2830,83.0,0.107697585,137226
2840,84.0,0.108031566,137700
2850,82.0,0.108355259,138187
2860,82.0,0.108686738,138670
2870,86.0,0.109005441,139140
2880,85.0,0.109322742,139613
2890,82.0,0.109646517,140090
2900,85.0,0.109975222,140567
2910,82.0,0.1103038,141056
2920,79.0,0.110632758,141538
2930,82.0,0.110977294,142006
2940,85.0,0.111329,142499
2950,85.0,0.111658378,142986
2960,83.0,0.112142243,143459
2970,82.0,0.112518268,143962
2980,85.0,0.112887781,144451
2990,83.0,0.113410924,144945
3000,88.0,0.113828875,145433
3010,86.0,0.11421483,145911
3020,83.0,0.114553691,146397
3030,86.0,0.114889365,146878
3040,86.0,0.115215532,147363
3050,86.0,0.115538548,147827
3060,86.0,0.115867686,148308
3070,83.0,0.116195349,148781
3080,85.0,0.116557153,149261
3090,83.0,0.116895718,149757
3100,85.0,0.117224418,150233
3110,85.0,0.117603823,150712
3120,84.0,0.117952333,151208
3130,85.0,0.118349571,151694
3140,85.0,0.118715893,152181
3150,84.0,0.119087415,152662
3160,83.0,0.119515154,153144
3170,84.0,0.120084265,153631
3180,84.0,0.120533524,154111
3190,84.0,0.1208599,154594
3200,84.0,0.121174676,155073
3210,83.0,0.121478013,155540
3220,83.0,0.121786621,156027
3230,87.0,0.122151566,156510
3240,87.0,0.122464652,157002
3250,86.0,0.122777914,157471
3260,84.0,0.123088375,157959
3270,83.0,0.12340109,158440
3280,83.0,0.123710824,158915
3290,80.0,0.124020168,159390
3300,82.0,0.124325707,159879
3310,84.0,0.124629285,160374
3320,83.0,0.124943653,160859
3330,83.0,0.125289966,161346
3340,83.0,0.125599561,161836
3350,80.0,0.125937708,162323
3360,83.0,0.126253856,162801
3370,83.0,0.126603905,163282
3380,81.0,0.126997878,163760
3390,82.0,0.127330968,164230
3400,84.0,0.127671681,164705
3410,82.0,0.128027445,165185
3420,84.0,0.128365736,165676
3430,83.0,0.128681924,166148
3440,81.0,0.129006268,166627
3450,80.0,0.129323508,167088
3460,84.0,0.129680745,167563
3470,80.0,0.129996882,168048
3480,84.0,0.130313189,168530
3490,81.0,0.130621943,169010
3500,81.0,0.130934452,169487
3510,83.0,0.131237532,169962
3520,81.0,0.131539897,170445
3530,81.0,0.131838883,170927
3540,81.0,0.132137967,171399
3550,80.0,0.132440569,171888
3560,80.0,0.132747145,172364
3570,83.0,0.133053596,172857
3580,83.0,0.133355172,173338
3590,83.0,0.133661884,173830
3600,80.0,0.133972291,174324
3610,79.0,0.134276147,174817
3620,81.0,0.134579461,175300
3630,83.0,0.134921715,175774
3640,83.0,0.135241674,176260
3650,83.0,0.135544813,176743
3660,83.0,0.135853389,177224
3670,80.0,0.136157904,177705
3680,80.0,0.136479548,178192
3690,83.0,0.136840865,178675
3700,82.0,0.137187743,179170
3710,81.0,0.137501975,179667
3720,82.0,0.137896414,180154
3730,80.0,0.138212947,180645
3740,81.0,0.138690528,181127
3750,82.0,0.139150507,181609
3760,81.0,0.139716385,182084
3770,81.0,0.140195861,182567
3780,84.0,0.140754384,183054
3790,82.0,0.141187124,183533
3800,82.0,0.141696979,184008
3810,81.0,0.142202428,184489
3820,80.0,0.142639327,184972
3830,77.0,0.143314469,185447
3840,77.0,0.143822084,185936
3850,76.0,0.144512876,186421
3860,80.0,0.145016523,186884
3870,78.0,0.145345274,187371
3880,78.0,0.145971329,187859
3890,78.0,0.146427492,188336
3900,76.0,0.146822173,188824
3910,76.0,0.147146958,189298
3920,78.0,0.14748505,189773
3930,77.0,0.147880172,190261
3940,78.0,0.148269927,190739
3950,78.0,0.148627723,191214
3960,81.0,0.148947041,191710
3970,83.0,0.149336992,192199
3980,85.0,0.149641789,192682
3990,83.0,0.149951641,193158
4000,83.0,0.150249992,193642
4010,82.0,0.150548598,194119
4020,82.0,0.150857557,194602
4030,84.0,0.151162457,195087
4040,82.0,0.151468473,195594
4050,82.0,0.151777839,196079
4060,82.0,0.15208544,196563
4070,82.0,0.15240023,197049
4080,82.0,0.152702644,197526
4090,80.0,0.153010471,198011
4100,79.0,0.153358646,198482
4110,80.0,0.153716149,198966
4120,80.0,0.154119422,199446
4130,82.0,0.154463099,199936
4140,83.0,0.154816383,200431
4150,86.0,0.155171015,200908
4160,86.0,0.155524739,201383
4170,89.0,0.15585523,201855
4180,89.0,0.156181644,202326
4190,89.0,0.156500778,202804
4200,89.0,0.156956052,203271
4210,89.0,0.157267684,203768
4220,86.0,0.157593853,204255
4230,86.0,0.157910043,204732
4240,83.0,0.15826833,205214
4250,86.0,0.158604536,205695
4260,83.0,0.158928754,206173
4270,85.0,0.159249219,206663
4280,83.0,0.159619877,207145
4290,83.0,0.159970356,207618
4300,83.0,0.160309577,208085
4310,85.0,0.160627682,208560
4320,83.0,0.1610789,209043
4330,83.0,0.16144872,209528
4340,82.0,0.16182151,210012
4350,83.0,0.163367335,210498
4360,85.0,0.164001531,210984
4370,82.0,0.164494013,211470
4380,85.0,0.165024711,211959
4390,84.0,0.165502532,212441
4400,80.0,0.16605929,212920
4410,79.0,0.166571026,213403
4420,80.0,0.167187664,213892
4430,83.0,0.167618614,214375
4440,81.0,0.167979553,214864
4450,81.0,0.168340681,215344
4460,82.0,0.168682763,215827
4470,82.0,0.169025034,216317
4480,81.0,0.16936587,216789
4490,82.0,0.169721892,217271
4500,79.0,0.170057581,217735
4510,79.0,0.170438617,218211
4520,82.0,0.17079339,218697
4530,80.0,0.171245576,219177
4540,80.0,0.171689031,219653
4550,82.0,0.172024168,220120
4560,77.0,0.172380853,220608
4570,85.0,0.172709046,221079
4580,84.0,0.173068579,221556
4590,86.0,0.173393702,222043
4600,86.0,0.17372175,222512
4610,87.0,0.174052223,223000
4620,89.0,0.174373565,223492
4630,88.0,0.174693005,223972
4640,89.0,0.175012052,224442
4650,86.0,0.17534935,224931
4660,87.0,0.175688702,225417
4670,86.0,0.176009601,225895
4680,84.0,0.176327183,226392
4690,86.0,0.176646526,226882
4700,86.0,0.176979242,227385
4710,83.0,0.177302926,227860
4720,85.0,0.17762203,228357
4730,83.0,0.17794626,228846
4740,84.0,0.178313358,229338
4750,83.0,0.178694652,229827
4760,83.0,0.17904205,230312
4770,79.0,0.179386255,230778
4780,79.0,0.179742232,231265
4790,79.0,0.180083406,231732
4800,80.0,0.180412569,232210
4810,78.0,0.180741436,232701
4820,77.0,0.181061435,233178
4830,80.0,0.181393058,233654
4840,80.0,0.181709515,234123
4850,81.0,0.182069582,234606
4860,86.0,0.182436895,235073
4870,84.0,0.182818906,235571
4880,88.0,0.183204052,236057
4890,85.0,0.183523538,236552
4900,86.0,0.183879676,237034
4910,86.0,0.184263394,237508
4920,89.0,0.184679954,237983
4930,87.0,0.185274483,238469
4940,89.0,0.185721959,238964
4950,87.0,0.186277806,239436
4960,87.0,0.186696516,239927
4970,87.0,0.187151136,240411
4980,86.0,0.187568921,240882
4990,83.0,0.187938509,241354
5000,84.0,0.1883149,241834
