iterations,fitness,time,fevals
0,50.0,0.074574222,1000
10,64.0,0.14165676,2100
20,78.0,0.209600885,3200
30,82.0,0.265069426,4300
40,82.0,0.311878409,5400
50,79.0,0.356120078,6500
60,79.0,0.400337456,7600
70,79.0,0.443702049,8700
80,82.0,0.488274081,9800
90,82.0,0.53197022,10900
100,82.0,0.575045763,12000
110,82.0,0.618427483,13100
120,82.0,0.663106298,14200
130,82.0,0.708838513,15300
140,82.0,0.753623434,16400
150,82.0,0.796450072,17500
160,82.0,0.84097617,18600
170,82.0,0.884897518,19700
180,82.0,0.936736788,20800
190,82.0,1.017383735,21900
200,82.0,1.090200157,23000
210,82.0,1.154598008,24100
220,82.0,1.211439227,25200
230,82.0,1.271110002,26300
240,82.0,1.337672755,27400
250,82.0,1.407458905,28500
260,82.0,1.476830965,29600
270,82.0,1.539783809,30700
280,82.0,1.590420387,31800
290,82.0,1.635651813,32900
300,82.0,1.682232881,34000
310,82.0,1.726030998,35100
320,82.0,1.76885265,36200
330,82.0,1.811909249,37300
340,82.0,1.854591017,38400
350,82.0,1.899274187,39500
360,82.0,1.943506882,40600
370,82.0,1.990725477,41700
380,82.0,2.034033335,42800
390,82.0,2.089164186,43900
400,82.0,2.186167149,45000
410,82.0,2.268111827,46100
420,82.0,2.327042327,47200
430,82.0,2.383068137,48300
440,82.0,2.431422751,49400
450,82.0,2.488981306,50500
460,82.0,2.541498118,51600
470,82.0,2.584392842,52700
480,82.0,2.627052955,53800
490,82.0,2.671316947,54900
500,82.0,2.715274771,56000
510,82.0,2.77321447,57100
520,82.0,2.847464611,58200
530,82.0,2.920858249,59300
540,82.0,3.010416565,60400
550,82.0,3.066054407,61500
560,82.0,3.110592323,62600
570,82.0,3.156974039,63700
580,82.0,3.19891856,64800
590,82.0,3.241336703,65900
600,82.0,3.28304288,67000
610,82.0,3.325008985,68100
620,82.0,3.366606067,69200
630,82.0,3.409728101,70300
640,82.0,3.451939309,71400
650,82.0,3.494651458,72500
660,82.0,3.537766926,73600
670,82.0,3.582242127,74700
680,82.0,3.626774694,75800
690,82.0,3.670841953,76900
700,82.0,3.71988693,78000
710,82.0,3.787634086,79100
720,82.0,3.854967488,80200
730,82.0,3.930333333,81300
740,82.0,4.001561697,82400
750,82.0,4.052233395,83500
760,82.0,4.099886421,84600
770,82.0,4.144833267,85700
780,82.0,4.18789003,86800
790,82.0,4.232416936,87900
800,82.0,4.276942053,89000
810,82.0,4.322071161,90100
820,82.0,4.365181637,91200
830,82.0,4.413467345,92300
840,82.0,4.461698907,93400
850,82.0,4.506743088,94500
860,82.0,4.55185058,95600
870,82.0,4.597852934,96700
880,83.0,4.642902514,97800
890,83.0,4.68769163,98900
900,82.0,4.730030446,100000
910,82.0,4.772370907,101100
920,82.0,4.820795577,102200
930,82.0,4.869375968,103300
940,82.0,4.920074282,104400
950,82.0,4.969321206,105500
960,82.0,5.016715379,106600
970,82.0,5.063615519,107700
980,82.0,5.111214861,108800
990,82.0,5.162923094,109900
1000,82.0,5.211114225,111000
1010,82.0,5.25659241,112100
1020,82.0,5.300542065,113200
1030,82.0,5.345884644,114300
1040,82.0,5.389166699,115400
1050,82.0,5.432353556,116500
1060,82.0,5.478545341,117600
1070,82.0,5.529185571,118700
1080,82.0,5.585415563,119800
1090,82.0,5.636938915,120900
1100,82.0,5.694868287,122000
1110,82.0,5.747845322,123100
1120,82.0,5.801948727,124200
1130,82.0,5.857163735,125300
1140,82.0,5.912827461,126400
1150,82.0,5.964970111,127500
1160,82.0,6.013083991,128600
1170,82.0,6.06106644,129700
1180,82.0,6.104754264,130800
1190,82.0,6.147956612,131900
1200,82.0,6.192413374,133000
1210,82.0,6.238849644,134100
1220,82.0,6.289097788,135200
1230,82.0,6.335249888,136300
1240,82.0,6.380373327,137400
1250,82.0,6.427028299,138500
1260,82.0,6.476363468,139600
1270,82.0,6.527007101,140700
