iterations,fitness,time,fevals
0,33.0,0.000792455,11
10,33.0,0.001016155,21
20,33.0,0.001226992,31
30,37.0,0.001408892,41
40,38.0,0.001703502,51
50,40.0,0.001889227,61
60,42.0,0.002102935,71
70,46.0,0.002300206,81
80,49.0,0.00249402,91
90,49.0,0.002692073,101
100,49.0,0.002863691,111
110,51.0,0.003083908,121
120,52.0,0.00330031,131
130,55.0,0.003429411,141
140,58.0,0.003536352,151
150,59.0,0.004021108,161
160,59.0,0.004188754,171
170,61.0,0.004297125,181
180,61.0,0.004365747,191
190,61.0,0.004427746,201
200,61.0,0.004543199,211
210,61.0,0.004624565,221
220,62.0,0.004694174,231
230,64.0,0.004753879,241
240,67.0,0.004811394,251
250,67.0,0.004873083,261
260,67.0,0.004927434,271
270,67.0,0.004982362,281
280,67.0,0.005049274,291
290,67.0,0.005104299,301
300,67.0,0.005162984,311
310,67.0,0.00522038,321
320,67.0,0.005277427,331
330,68.0,0.005372081,341
340,68.0,0.005429236,351
350,68.0,0.005531772,361
360,68.0,0.005629558,371
370,68.0,0.005755572,381
380,68.0,0.005880637,391
390,68.0,0.006008901,401
400,68.0,0.006104027,411
410,68.0,0.006202983,421
420,68.0,0.006301925,431
430,68.0,0.006401866,441
440,68.0,0.006557613,451
450,71.0,0.006715808,461
460,71.0,0.006829293,471
470,74.0,0.006923978,481
480,74.0,0.007020032,491
490,74.0,0.007218237,501
500,74.0,0.007329981,511
510,74.0,0.007558616,521
520,74.0,0.00775026,531
530,74.0,0.007889055,541
540,74.0,0.008017631,551
550,74.0,0.008120154,561
560,74.0,0.008240285,571
570,74.0,0.008355347,581
580,74.0,0.008467439,591
590,74.0,0.00856943,601
600,74.0,0.008663301,611
610,74.0,0.008810225,621
620,74.0,0.00889394,631
630,74.0,0.009085469,641
640,74.0,0.009202199,651
650,74.0,0.009291201,661
660,74.0,0.009514517,671
670,74.0,0.00964181,681
680,74.0,0.009746162,691
690,74.0,0.009833672,701
700,74.0,0.009939196,711
710,74.0,0.010032337,721
720,74.0,0.010097199,731
