iterations,fitness,time,fevals
0,18.0,0.000397794000001,284
10,21.0,0.000721453000004,471
20,21.0,0.00103047100001,651
30,23.0,0.00133700800001,833
40,23.0,0.00161592000001,1015
50,23.0,0.00194133300001,1203
60,23.0,0.00233780100002,1393
70,24.0,0.00289471800002,1581
80,24.0,0.00332115300002,1769
90,24.0,0.00377313300002,1949
100,24.0,0.00418743100002,2131
110,24.0,0.00465804100002,2312
120,24.0,0.00529915100002,2500
130,25.0,0.00577537500001,2691
140,26.0,0.00608090300001,2877
150,26.0,0.00637638400001,3059
160,27.0,0.00665335600001,3240
170,26.0,0.00692832400001,3431
180,26.0,0.00719812500001,3620
190,26.0,0.00748962000001,3813
200,26.0,0.007845995,4005
210,26.0,0.00816990000001,4190
220,26.0,0.00849992800001,4377
230,27.0,0.00887460500001,4558
240,27.0,0.00928159400001,4745
250,27.0,0.010472573,4937
260,28.0,0.010844116,5123
270,27.0,0.011343408,5311
280,27.0,0.011764662,5499
290,28.0,0.012334896,5684
300,28.0,0.012661171,5870
310,28.0,0.012987441,6059
320,28.0,0.013365022,6244
330,28.0,0.013686608,6428
340,29.0,0.01396441,6612
350,30.0,0.01423267,6796
360,30.0,0.014529317,6988
370,30.0,0.014843772,7176
380,30.0,0.015123686,7358
390,31.0,0.015394129,7545
400,33.0,0.015665767,7729
410,34.0,0.015971256,7921
420,34.0,0.016238998,8106
430,35.0,0.016509705,8289
440,34.0,0.016776168,8477
450,34.0,0.017043897,8663
460,34.0,0.017308441,8846
470,35.0,0.017566876,9029
480,36.0,0.017830245,9213
490,35.0,0.018095831,9398
500,35.0,0.018355793,9585
510,36.0,0.018617134,9775
520,35.0,0.01886753,9964
530,36.0,0.019162242,10150
540,36.0,0.019445506,10338
550,36.0,0.019708207,10525
560,35.0,0.020003941,10718
570,36.0,0.020285949,10904
580,36.0,0.020557709,11092
590,36.0,0.020898694,11278
600,36.0,0.021156788,11467
610,37.0,0.021434863,11649
620,37.0,0.021719047,11834
630,37.0,0.021975515,12020
640,37.0,0.022236585,12210
650,36.0,0.022493482,12397
660,37.0,0.022854484,12578
670,38.0,0.02332455,12767
680,38.0,0.023664963,12946
690,38.0,0.024060229,13132
700,38.0,0.024464426,13320
710,39.0,0.024879082,13503
720,39.0,0.025327471,13686
730,40.0,0.025946398,13874
740,41.0,0.026360066,14061
750,41.0,0.026678975,14247
760,41.0,0.026958254,14434
770,42.0,0.027272302,14620
780,41.0,0.027581352,14806
790,43.0,0.027928067,14991
800,44.0,0.028222814,15178
810,43.0,0.028564956,15373
820,43.0,0.028862154,15556
830,43.0,0.02926576,15742
840,43.0,0.029625741,15929
850,43.0,0.030364083,16117
860,43.0,0.030817143,16309
870,42.0,0.031290345,16498
880,42.0,0.031702877,16689
890,43.0,0.032247567,16878
900,43.0,0.032600707,17057
910,43.0,0.033037479,17240
920,43.0,0.033325753,17426
930,43.0,0.033636601,17615
940,43.0,0.033905866,17802
950,44.0,0.034165023,17988
960,43.0,0.034429088,18176
970,43.0,0.034749017,18362
980,43.0,0.035053042,18551
990,43.0,0.035325878,18736
1000,44.0,0.035598347,18925
1010,43.0,0.035867798,19108
1020,43.0,0.036137629,19299
1030,43.0,0.036438129,19485
1040,44.0,0.036706012,19670
1050,44.0,0.036982053,19862
1060,44.0,0.037275215,20043
1070,44.0,0.037557484,20229
1080,44.0,0.037850072,20416
1090,44.0,0.038146528,20600
1100,45.0,0.038426577,20788
1110,44.0,0.038711836,20976
1120,44.0,0.039007297,21162
1130,44.0,0.039263779,21348
1140,44.0,0.039522102,21533
1150,44.0,0.039779218,21717
1160,44.0,0.040111881,21899
1170,44.0,0.04037664,22086
1180,44.0,0.040645628,22272
1190,44.0,0.040919332,22458
1200,44.0,0.041178036,22635
1210,45.0,0.041497761,22818
1220,44.0,0.041752375,22992
1230,44.0,0.042031903,23172
1240,44.0,0.042337076,23357
1250,45.0,0.042644938,23536
1260,44.0,0.043349653,23725
1270,44.0,0.04476632,23907
1280,44.0,0.045492429,24090
1290,45.0,0.046150347,24277
1300,45.0,0.046935782,24459
1310,46.0,0.047589001,24648
1320,45.0,0.047966294,24834
1330,45.0,0.048417198,25023
1340,45.0,0.048846771,25207
1350,45.0,0.049281194,25392
1360,44.0,0.04976574,25575
1370,45.0,0.050441358,25765
1380,45.0,0.051664003,25950
