iterations,fitness,time,fevals
0,28.0,0.084420861,1000
10,32.0,0.151856185,2100
20,35.0,0.212654706,3200
30,36.0,0.267861207,4300
40,34.0,0.32106884,5400
50,35.0,0.375354214,6500
60,35.0,0.437850222,7600
70,35.0,0.506552172,8700
80,34.0,0.563066577,9800
90,35.0,0.61642102,10900
100,34.0,0.671837035,12000
110,34.0,0.723245195,13100
120,33.0,0.774361963,14200
130,33.0,0.825104238,15300
140,34.0,0.875612117,16400
150,33.0,0.927061527,17500
160,35.0,0.977060314,18600
170,33.0,1.0265082,19700
180,33.0,1.077426303,20800
190,33.0,1.129090607,21900
200,33.0,1.181231257,23000
210,33.0,1.232563525,24100
220,34.0,1.281803897,25200
230,35.0,1.332690649,26300
240,33.0,1.397065008,27400
250,33.0,1.515568845,28500
260,35.0,1.606646264,29600
270,33.0,1.716616041,30700
280,33.0,1.787037374,31800
290,33.0,1.848719284,32900
300,33.0,1.899586006,34000
310,34.0,1.95048095,35100
320,33.0,1.998999927,36200
330,33.0,2.049110059,37300
340,33.0,2.100274589,38400
350,34.0,2.157263063,39500
360,33.0,2.222489759,40600
370,33.0,2.285003037,41700
380,33.0,2.349966084,42800
390,33.0,2.406723172,43900
400,33.0,2.460338197,45000
410,34.0,2.510589661,46100
420,33.0,2.561234925,47200
430,33.0,2.610513171,48300
440,33.0,2.65954292,49400
450,33.0,2.709556323,50500
460,33.0,2.759724703,51600
470,33.0,2.810116108,52700
480,33.0,2.861871731,53800
490,33.0,2.913147285,54900
500,33.0,2.963237155,56000
510,34.0,3.013572901,57100
520,33.0,3.064499299,58200
530,33.0,3.112229073,59300
540,33.0,3.159225993,60400
550,33.0,3.207979435,61500
560,33.0,3.260294451,62600
570,33.0,3.320643332,63700
580,33.0,3.380758812,64800
590,33.0,3.443227791,65900
600,33.0,3.498052218,67000
610,33.0,3.552623816,68100
620,33.0,3.606375135,69200
630,33.0,3.665003294,70300
640,33.0,3.717063589,71400
650,33.0,3.76983245,72500
660,33.0,3.824855559,73600
670,34.0,3.88939458,74700
680,33.0,3.954331128,75800
690,33.0,4.011845952,76900
700,35.0,4.066348835,78000
710,34.0,4.121457298,79100
720,33.0,4.176899244,80200
730,34.0,4.23170121,81300
740,33.0,4.285944326,82400
750,34.0,4.34193454,83500
760,34.0,4.401517865,84600
770,33.0,4.463247881,85700
780,33.0,4.522211312,86800
790,35.0,4.577466759,87900
800,34.0,4.628600708,89000
810,33.0,4.683995914,90100
820,33.0,4.73786219,91200
830,33.0,4.79356195,92300
840,36.0,4.850644378,93400
850,33.0,4.911384678,94500
860,33.0,4.96934983,95600
