iterations,fitness,time,fevals
0,12.0,1.61159999998e-05,11
10,15.0,3.28639999998e-05,21
20,15.0,4.71089999998e-05,31
30,15.0,6.14279999998e-05,41
40,15.0,7.60869999998e-05,51
50,15.0,9.35469999996e-05,61
60,17.0,0.000110281,71
70,17.0,0.000131280999999,81
80,17.0,0.000148508999999,91
90,17.0,0.000169208999999,101
100,17.0,0.000192537999999,111
110,17.0,0.00027293,121
120,18.0,0.000290626,131
130,18.0,0.000349286999999,141
140,18.0,0.000367072,151
150,18.0,0.000409209999999,161
160,18.0,0.000442635999999,171
170,18.0,0.000462176999999,181
180,18.0,0.000481274999999,191
190,18.0,0.000498590999999,201
200,18.0,0.000584276999999,211
210,18.0,0.000614427999999,221
220,18.0,0.000633990999999,231
230,18.0,0.000677887999999,241
240,18.0,0.000704507999999,251
250,18.0,0.000726975999999,261
260,18.0,0.000765052999999,271
270,18.0,0.000797804999999,281
280,18.0,0.000881237999999,291
290,18.0,0.000921074999999,301
300,18.0,0.000957814999999,311
310,18.0,0.000989613999999,321
320,18.0,0.001034482,331
330,18.0,0.001063425,341
340,18.0,0.001099296,351
350,18.0,0.001150104,361
360,18.0,0.001182288,371
370,18.0,0.001206092,381
380,18.0,0.001231317,391
390,18.0,0.00124608,401
400,18.0,0.001276747,411
410,18.0,0.001301231,421
420,18.0,0.001339267,431
430,19.0,0.001367682,441
440,19.0,0.001388898,451
450,19.0,0.001406072,461
460,19.0,0.001437748,471
470,20.0,0.001479846,481
480,21.0,0.001525927,491
490,21.0,0.001548963,501
500,21.0,0.001578293,511
510,21.0,0.001608439,521
520,21.0,0.001629026,531
530,21.0,0.001649987,541
540,21.0,0.001669453,551
550,21.0,0.001703381,561
560,21.0,0.001737336,571
570,21.0,0.001780865,581
580,21.0,0.001804082,591
590,21.0,0.001841903,601
600,22.0,0.001869969,611
610,22.0,0.001896337,621
620,22.0,0.001917169,631
630,22.0,0.002209139,641
640,22.0,0.002371555,651
650,22.0,0.002405214,661
660,22.0,0.002426868,671
670,22.0,0.002475954,681
680,22.0,0.002500057,691
690,22.0,0.002521519,701
700,22.0,0.002536594,711
710,22.0,0.002554668,721
720,22.0,0.002569391,731
730,22.0,0.002582978,741
740,23.0,0.002600344,751
750,24.0,0.002615727,761
760,24.0,0.002633485,771
770,24.0,0.002651499,781
780,24.0,0.002668959,791
790,25.0,0.002697077,801
800,25.0,0.00271402,811
810,25.0,0.002725021,821
820,25.0,0.002744597,831
830,25.0,0.002757704,841
840,25.0,0.002847034,851
850,25.0,0.00286909,861
860,25.0,0.002884827,871
870,25.0,0.002905143,881
880,25.0,0.002925302,891
890,25.0,0.002963452,901
900,25.0,0.002990098,911
910,25.0,0.003010381,921
920,25.0,0.003037475,931
930,25.0,0.003062195,941
940,25.0,0.003090699,951
950,25.0,0.003115989,961
960,25.0,0.003143011,971
970,27.0,0.003168809,981
980,28.0,0.003193089,991
990,28.0,0.003242731,1001
1000,28.0,0.003264047,1011
1010,29.0,0.003288639,1021
1020,29.0,0.003306021,1031
1030,30.0,0.003331482,1041
1040,30.0,0.003351736,1051
1050,30.0,0.003366195,1061
1060,30.0,0.003382996,1071
1070,30.0,0.003400737,1081
1080,30.0,0.003421472,1091
1090,30.0,0.003437825,1101
1100,30.0,0.003464039,1111
1110,30.0,0.003490761,1121
1120,30.0,0.003507801,1131
1130,30.0,0.00353694,1141
1140,30.0,0.003560445,1151
1150,30.0,0.003587159,1161
1160,30.0,0.003665876,1171
1170,30.0,0.003746335,1181
1180,30.0,0.003782217,1191
1190,30.0,0.003820284,1201
1200,30.0,0.003846553,1211
1210,31.0,0.003881757,1221
1220,38.0,0.003940361,1231
1230,38.0,0.004002039,1241
1240,38.0,0.004035535,1251
1250,38.0,0.004061694,1261
1260,38.0,0.004079414,1271
1270,38.0,0.004227943,1281
1280,38.0,0.004385017,1291
1290,38.0,0.004424514,1301
1300,38.0,0.004442921,1311
1310,38.0,0.004456431,1321
1320,38.0,0.004471236,1331
1330,38.0,0.004527539,1341
1340,38.0,0.004545043,1351
1350,38.0,0.004563887,1361
1360,38.0,0.00457413,1371
1370,38.0,0.004584165,1381
1380,38.0,0.004599153,1391
1390,38.0,0.004614845,1401
1400,38.0,0.004629669,1411
1410,38.0,0.004650231,1421
1420,38.0,0.004662608,1431
1430,38.0,0.004675739,1441
1440,38.0,0.004706403,1451
1450,38.0,0.004716978,1461
1460,38.0,0.004732206,1471
1470,38.0,0.004746182,1481
1480,38.0,0.004764556,1491
1490,38.0,0.004786548,1501
1500,38.0,0.004798869,1511
1510,38.0,0.004816398,1521
1520,38.0,0.004850677,1531
1530,38.0,0.004937271,1541
1540,38.0,0.004963281,1551
1550,38.0,0.00499394,1561
1560,38.0,0.005024377,1571
1570,39.0,0.005044091,1581
1580,39.0,0.005065062,1591
1590,39.0,0.005083677,1601
1600,40.0,0.005098913,1611
1610,40.0,0.00513472,1621
1620,40.0,0.00516164,1631
1630,40.0,0.005187041,1641
1640,40.0,0.00520556,1651
1650,40.0,0.005227677,1661
1660,40.0,0.005247238,1671
1670,40.0,0.005269154,1681
1680,40.0,0.005292794,1691
1690,40.0,0.005313553,1701
1700,40.0,0.005360132,1711
1710,40.0,0.00537912,1721
1720,40.0,0.005402134,1731
1730,40.0,0.00543592,1741
1740,40.0,0.005483685,1751
1750,40.0,0.005505234,1761
1760,40.0,0.00552924,1771
1770,40.0,0.005548613,1781
1780,40.0,0.005580735,1791
1790,40.0,0.005604733,1801
1800,40.0,0.005630612,1811
1810,40.0,0.005682204,1821
1820,40.0,0.00572965,1831
1830,40.0,0.005751913,1841
1840,40.0,0.005775334,1851
1850,40.0,0.005876474,1861
1860,40.0,0.005905847,1871
1870,40.0,0.005930774,1881
1880,40.0,0.005950049,1891
1890,40.0,0.005983689,1901
1900,40.0,0.006080713,1911
1910,40.0,0.006115217,1921
1920,40.0,0.006148753,1931
1930,40.0,0.006166859,1941
1940,40.0,0.006365551,1951
1950,40.0,0.006563362,1961
1960,40.0,0.006589435,1971
1970,40.0,0.006621027,1981
1980,40.0,0.006637357,1991
1990,40.0,0.006652886,2001
2000,40.0,0.006669788,2011
2010,40.0,0.006704548,2021
2020,40.0,0.006720522,2031
2030,40.0,0.006735155,2041
2040,40.0,0.006750159,2051
2050,40.0,0.006764538,2061
2060,40.0,0.006780066,2071
2070,40.0,0.006828126,2081
2080,40.0,0.006839177,2091
2090,40.0,0.006852629,2101
2100,40.0,0.006865355,2111
2110,40.0,0.006878226,2121
2120,40.0,0.006904763,2131
2130,40.0,0.006919347,2141
2140,40.0,0.006932815,2151
2150,40.0,0.006948823,2161
2160,40.0,0.006962682,2171
2170,40.0,0.006979766,2181
2180,40.0,0.007014669,2191
2190,40.0,0.007030441,2201
2200,40.0,0.007044663,2211
2210,40.0,0.007070125,2221
2220,40.0,0.007090571,2231
2230,40.0,0.007121487,2241
2240,40.0,0.007135513,2251
2250,40.0,0.007159044,2261
2260,40.0,0.007179592,2271
2270,40.0,0.007210183,2281
2280,40.0,0.007233102,2291
2290,40.0,0.007257162,2301
2300,40.0,0.007279545,2311
2310,40.0,0.007298985,2321
2320,40.0,0.007316236,2331
2330,40.0,0.007332625,2341
2340,40.0,0.007367163,2351
2350,40.0,0.007398857,2361
2360,40.0,0.007424065,2371
2370,40.0,0.007535462,2381
2380,40.0,0.007560332,2391
2390,40.0,0.007589128,2401
2400,40.0,0.007650264,2411
2410,40.0,0.007685143,2421
2420,40.0,0.007711488,2431
2430,40.0,0.007740565,2441
2440,40.0,0.007794286,2451
