iterations,fitness,time,fevals
0,11.0,1.92810000001e-05,11
10,14.0,5.51169999996e-05,21
20,13.0,6.68609999996e-05,31
30,14.0,7.66629999998e-05,41
40,13.0,8.43139999995e-05,51
50,12.0,9.75049999994e-05,61
60,13.0,0.000104631999999,71
70,14.0,0.000121975,81
80,14.0,0.000147631,91
90,17.0,0.000158753,101
100,16.0,0.000182626,111
110,15.0,0.00019278,121
120,14.0,0.000200647,131
130,13.0,0.000220744999999,141
140,14.0,0.000233620999999,151
150,13.0,0.000242601999998,161
160,13.0,0.000249218999999,171
170,14.0,0.000259084999999,181
180,13.0,0.000267189999999,191
190,14.0,0.000274392999999,201
200,16.0,0.000286248999998,211
210,12.0,0.000293878999999,221
220,12.0,0.000302771999999,231
230,14.0,0.000312585999999,241
240,11.0,0.000320618999999,251
250,11.0,0.000330004999999,261
260,12.0,0.000339893999999,271
270,15.0,0.000352194999999,281
280,12.0,0.000362917999999,291
290,12.0,0.000369739999998,301
300,13.0,0.000380139999998,311
310,14.0,0.000389016999998,321
320,13.0,0.000402558999998,331
330,14.0,0.000410464999997,341
340,12.0,0.000423201999997,351
350,16.0,0.000432196999997,361
360,16.0,0.000442906999997,371
370,18.0,0.000456217999997,381
380,13.0,0.000464467999997,391
390,18.0,0.000472556999997,401
400,20.0,0.000480335999996,411
410,21.0,0.000489089999997,421
420,13.0,0.000497198999997,431
430,20.0,0.000505073999997,441
440,22.0,0.000512674999997,451
450,22.0,0.000526517999997,461
460,23.0,0.000545548999997,471
470,23.0,0.000569457999998,481
480,23.0,0.000584372999998,491
490,23.0,0.000597594999998,501
500,23.0,0.000611504999998,511
510,23.0,0.000626051999999,521
520,24.0,0.000645400999999,531
530,24.0,0.000744230999999,541
540,24.0,0.001113496,551
550,24.0,0.001160856,561
560,24.0,0.001187192,571
570,24.0,0.001200991,581
580,24.0,0.001213085,591
590,24.0,0.00122933,601
600,24.0,0.001240493,611
610,24.0,0.001251625,621
620,24.0,0.001263299,631
630,24.0,0.001306656,641
640,24.0,0.001319831,651
650,24.0,0.00133541,661
660,24.0,0.001381616,671
670,24.0,0.001394847,681
680,24.0,0.001405305,691
690,24.0,0.001419676,701
700,24.0,0.001432083,711
710,24.0,0.001442923,721
720,24.0,0.001460268,731
730,24.0,0.001472015,741
740,24.0,0.001489333,751
750,24.0,0.001499861,761
760,24.0,0.001513191,771
770,24.0,0.001528714,781
780,25.0,0.00154485,791
790,25.0,0.001554835,801
800,25.0,0.001565799,811
810,25.0,0.001585966,821
820,25.0,0.001593914,831
830,25.0,0.001603309,841
840,25.0,0.001612211,851
850,25.0,0.00161893,861
860,25.0,0.001630932,871
870,25.0,0.001640258,881
880,25.0,0.00165178,891
890,26.0,0.001659971,901
900,26.0,0.001670622,911
910,27.0,0.00168115,921
920,29.0,0.001688802,931
930,31.0,0.001747203,941
940,31.0,0.001756157,951
950,32.0,0.001762621,961
960,32.0,0.001774181,971
970,32.0,0.001782704,981
980,33.0,0.001790599,991
990,34.0,0.001800178,1001
1000,34.0,0.001809843,1011
1010,34.0,0.001819672,1021
1020,35.0,0.001827782,1031
1030,35.0,0.001836069,1041
1040,35.0,0.001860783,1051
1050,38.0,0.001871291,1061
1060,38.0,0.001879672,1071
1070,38.0,0.001888019,1081
1080,38.0,0.001895545,1091
1090,38.0,0.00190234,1101
1100,38.0,0.001909579,1111
1110,38.0,0.001916589,1121
1120,38.0,0.00192417,1131
1130,38.0,0.001930607,1141
1140,38.0,0.001942003,1151
1150,38.0,0.001951292,1161
1160,38.0,0.001958611,1171
1170,38.0,0.001966871,1181
1180,38.0,0.001976957,1191
1190,39.0,0.001983954,1201
1200,39.0,0.001991607,1211
1210,39.0,0.001998051,1221
1220,39.0,0.002004163,1231
1230,40.0,0.0020119,1241
1240,40.0,0.00201908,1251
1250,40.0,0.002026375,1261
1260,40.0,0.002036061,1271
1270,40.0,0.002044058,1281
1280,41.0,0.002051537,1291
1290,41.0,0.002058868,1301
1300,41.0,0.002065047,1311
1310,41.0,0.002072249,1321
1320,41.0,0.002081901,1331
1330,41.0,0.002089754,1341
1340,41.0,0.0020977,1351
1350,41.0,0.002105703,1361
1360,41.0,0.002115938,1371
1370,41.0,0.002125996,1381
1380,41.0,0.002132836,1391
1390,41.0,0.002140005,1401
1400,41.0,0.002147023,1411
1410,41.0,0.002154156,1421
1420,41.0,0.002160741,1431
1430,42.0,0.002168272,1441
1440,42.0,0.002175753,1451
1450,42.0,0.00218186,1461
1460,42.0,0.002189869,1471
1470,42.0,0.002197562,1481
1480,42.0,0.002207707,1491
1490,42.0,0.002216053,1501
1500,42.0,0.002224713,1511
1510,42.0,0.00223394,1521
1520,42.0,0.002241831,1531
1530,42.0,0.002250747,1541
1540,42.0,0.002267905,1551
1550,42.0,0.002282582,1561
1560,42.0,0.002292626,1571
1570,42.0,0.002304171,1581
1580,42.0,0.002322431,1591
1590,42.0,0.002335826,1601
1600,42.0,0.002353828,1611
1610,42.0,0.002420525,1621
1620,42.0,0.002435507,1631
1630,42.0,0.002450146,1641
1640,42.0,0.002463822,1651
1650,42.0,0.002477242,1661
1660,42.0,0.002486812,1671
1670,42.0,0.002494852,1681
1680,42.0,0.002501995,1691
1690,42.0,0.002510146,1701
1700,42.0,0.00251904,1711
1710,42.0,0.002532732,1721
1720,42.0,0.002543786,1731
1730,42.0,0.002551588,1741
1740,42.0,0.002560018,1751
1750,42.0,0.002584544,1761
1760,42.0,0.002597337,1771
1770,42.0,0.002607731,1781
1780,42.0,0.002618916,1791
1790,42.0,0.002627237,1801
1800,42.0,0.002633907,1811
1810,42.0,0.002641978,1821
1820,42.0,0.002652961,1831
1830,42.0,0.002660664,1841
1840,42.0,0.002671691,1851
1850,42.0,0.002681007,1861
1860,42.0,0.002689298,1871
1870,42.0,0.002697644,1881
1880,42.0,0.002705583,1891
1890,42.0,0.00271547,1901
1900,42.0,0.002723629,1911
1910,42.0,0.002732415,1921
1920,42.0,0.002741973,1931
1930,42.0,0.002753733,1941
1940,42.0,0.002762781,1951
1950,42.0,0.002770141,1961
1960,42.0,0.002777491,1971
1970,42.0,0.00278761999999,1981
1980,42.0,0.00279587,1991
1990,42.0,0.002803733,2001
2000,42.0,0.002811092,2011
2010,42.0,0.00282005899999,2021
2020,42.0,0.002844192,2031
2030,43.0,0.00285849799999,2041
2040,43.0,0.00286743899999,2051
2050,43.0,0.00287582399999,2061
2060,43.0,0.00288425099999,2071
2070,43.0,0.00289296799999,2081
2080,43.0,0.00290060399999,2091
2090,44.0,0.00290906299999,2101
2100,44.0,0.00292175299999,2111
2110,45.0,0.00293099299999,2121
2120,46.0,0.00293949699999,2131
2130,46.0,0.00294810899999,2141
2140,46.0,0.00295617099999,2151
2150,46.0,0.00296289199999,2161
2160,46.0,0.00297064299999,2171
2170,46.0,0.002978442,2181
2180,46.0,0.002985061,2191
2190,46.0,0.002993293,2201
2200,46.0,0.003001121,2211
2210,46.0,0.00300806,2221
2220,46.0,0.00301624,2231
2230,46.0,0.003024103,2241
2240,49.0,0.003034958,2251
2250,49.0,0.003043601,2261
2260,49.0,0.003049262,2271
2270,49.0,0.003056927,2281
2280,49.0,0.003063888,2291
2290,49.0,0.003071116,2301
2300,49.0,0.00307752,2311
2310,49.0,0.003087819,2321
2320,49.0,0.003098275,2331
2330,49.0,0.003111341,2341
2340,49.0,0.003119606,2351
2350,50.0,0.003126828,2361
2360,50.0,0.003133957,2371
2370,50.0,0.003141935,2381
2380,50.0,0.003149264,2391
2390,50.0,0.003160319,2401
2400,50.0,0.003169446,2411
2410,50.0,0.003179354,2421
2420,50.0,0.003189665,2431
2430,50.0,0.003197338,2441
2440,50.0,0.00320656699999,2451
2450,50.0,0.00321316299999,2461
2460,51.0,0.00321982199999,2471
2470,51.0,0.00322627999999,2481
2480,51.0,0.00323573699999,2491
2490,51.0,0.00324296899999,2501
2500,51.0,0.00325236699999,2511
2510,51.0,0.00325977399999,2521
2520,52.0,0.00326742399999,2531
2530,52.0,0.00327499099999,2541
2540,52.0,0.00328215399999,2551
2550,52.0,0.00328892099999,2561
2560,52.0,0.00329947499999,2571
2570,53.0,0.00332232699999,2581
2580,53.0,0.00333125899999,2591
2590,53.0,0.00334131399999,2601
2600,53.0,0.00334923699999,2611
2610,53.0,0.00335775499999,2621
2620,54.0,0.00336596499999,2631
2630,58.0,0.00337364499999,2641
2640,59.0,0.00338096699999,2651
2650,59.0,0.00338835499999,2661
2660,60.0,0.00339803099999,2671
2670,60.0,0.00340584599999,2681
2680,60.0,0.00341295999999,2691
2690,61.0,0.00341967799999,2701
2700,61.0,0.00342992299999,2711
2710,61.0,0.00343676399999,2721
2720,61.0,0.00344378599999,2731
2730,62.0,0.00345380699999,2741
2740,66.0,0.00346292299999,2751
2750,66.0,0.00347133899999,2761
2760,66.0,0.00347972399999,2771
2770,66.0,0.00348789899999,2781
2780,66.0,0.00349614499999,2791
2790,66.0,0.00350302399999,2801
2800,66.0,0.00350899199999,2811
2810,66.0,0.00351627799999,2821
2820,66.0,0.00352357099999,2831
2830,66.0,0.00353119699999,2841
2840,66.0,0.00354424299999,2851
2850,66.0,0.00355439399999,2861
2860,66.0,0.00356610499999,2871
2870,67.0,0.00357275999999,2881
2880,67.0,0.00358170799999,2891
2890,67.0,0.00358969699999,2901
2900,67.0,0.00359724099999,2911
2910,69.0,0.00360416099999,2921
2920,69.0,0.00361200699999,2931
2930,69.0,0.00362436799999,2941
2940,71.0,0.00363208599999,2951
2950,71.0,0.00363985199999,2961
2960,72.0,0.00364908199999,2971
2970,72.0,0.00366115699999,2981
2980,73.0,0.00366894099999,2991
2990,73.0,0.00367766299999,3001
3000,73.0,0.00368774299999,3011
3010,74.0,0.00369650699999,3021
3020,75.0,0.00370348899999,3031
3030,75.0,0.00371133699999,3041
3040,75.0,0.00371845299999,3051
3050,76.0,0.00373694099999,3061
3060,76.0,0.00375185799999,3071
3070,76.0,0.00376015699999,3081
3080,76.0,0.00376609599999,3091
3090,77.0,0.00377335399999,3101
3100,78.0,0.00378175199999,3111
3110,78.0,0.00378878299999,3121
3120,78.0,0.00379527499999,3131
3130,79.0,0.00380169899999,3141
3140,79.0,0.00380810899999,3151
3150,79.0,0.00381517899999,3161
3160,79.0,0.00382184999999,3171
3170,80.0,0.00382811799999,3181
3180,80.0,0.00383454899999,3191
3190,81.0,0.00384055399999,3201
3200,84.0,0.00384726499999,3211
3210,84.0,0.00385425399999,3221
3220,84.0,0.00386052899999,3231
3230,84.0,0.00386722499999,3241
3240,84.0,0.00387801699999,3251
3250,84.0,0.00388806999999,3261
3260,84.0,0.00389827499999,3271
3270,84.0,0.00390739699999,3281
3280,84.0,0.00391573099999,3291
3290,84.0,0.00392495999999,3301
3300,84.0,0.00393202199999,3311
3310,84.0,0.00394031499999,3321
3320,85.0,0.00394796699999,3331
3330,88.0,0.00395520699999,3341
3340,88.0,0.00396246199999,3351
3350,88.0,0.00396987199999,3361
3360,88.0,0.00397675599999,3371
3370,88.0,0.00398383799999,3381
3380,89.0,0.00399117499999,3391
3390,91.0,0.00399820999999,3401
3400,91.0,0.00400533299999,3411
3410,92.0,0.00401473299999,3421
3420,93.0,0.00402283799999,3431
3430,93.0,0.00402910299999,3441
3440,93.0,0.00403610799999,3451
3450,93.0,0.00404321599999,3461
3460,93.0,0.00405084799999,3471
3470,93.0,0.00405635099999,3481
3480,93.0,0.00406342599999,3491
3490,93.0,0.00406945699999,3501
3500,93.0,0.00407650799999,3511
3510,93.0,0.00408273699999,3521
3520,94.0,0.00408940099999,3531
3530,94.0,0.00409665099999,3541
3540,94.0,0.00410362799999,3551
3550,94.0,0.00411009999999,3561
3560,94.0,0.00411694399999,3571
3570,94.0,0.00412395299999,3581
3580,94.0,0.00413047699999,3591
3590,95.0,0.00413696699999,3601
3600,95.0,0.00414316899999,3611
3610,96.0,0.00414941299999,3621
3620,96.0,0.00415626399999,3631
3630,96.0,0.00416330399999,3641
3640,97.0,0.00417524099999,3651
3650,97.0,0.00418202199999,3661
3660,97.0,0.00418782699999,3671
3670,97.0,0.00419405399999,3681
3680,97.0,0.00420021399999,3691
3690,97.0,0.00420598399999,3701
3700,97.0,0.00421255499999,3711
3710,97.0,0.00422147599999,3721
3720,99.0,0.00422768699999,3731
3730,99.0,0.00423634399999,3741
3740,99.0,0.00424268099999,3751
3750,99.0,0.00425322799999,3761
3760,99.0,0.00426217699999,3771
3770,99.0,0.00427103999999,3781
3780,99.0,0.00428070599999,3791
3790,99.0,0.00428951499999,3801
3800,99.0,0.00429842799999,3811
3810,99.0,0.00430516599999,3821
3820,99.0,0.00431617199999,3831
3830,99.0,0.00432629599999,3841
3840,99.0,0.00433600799999,3851
3850,99.0,0.00434479499999,3861
3860,99.0,0.00435417699999,3871
3870,99.0,0.00436566399999,3881
3880,99.0,0.00437578899999,3891
3890,99.0,0.00438431299999,3901
3900,99.0,0.00439363699999,3911
3910,99.0,0.00440533099999,3921
3920,99.0,0.00441450299999,3931
3930,99.0,0.00442376699999,3941
3940,99.0,0.00443141199999,3951
3950,99.0,0.00443816499999,3961
3960,99.0,0.00444576099999,3971
3970,99.0,0.00445869899999,3981
3980,99.0,0.00447427499999,3991
3990,99.0,0.00448837599999,4001
4000,99.0,0.00449529799999,4011
4010,99.0,0.00450661899999,4021
4020,99.0,0.00451542299999,4031
4030,99.0,0.00452398099999,4041
4040,99.0,0.00453099399999,4051
4050,99.0,0.00453891999999,4061
4060,99.0,0.00454656299999,4071
4070,99.0,0.00456410999999,4081
4080,99.0,0.00457312099999,4091
4090,99.0,0.00458274399999,4101
4100,99.0,0.00459214599999,4111
4110,99.0,0.00459888699999,4121
4120,99.0,0.00460570699999,4131
4130,99.0,0.00461324399999,4141
4140,99.0,0.00462326399999,4151
4150,99.0,0.00463052199999,4161
4160,99.0,0.00464013299999,4171
4170,99.0,0.00465252399999,4181
4180,99.0,0.00465925799999,4191
4190,99.0,0.00466705899999,4201
4200,99.0,0.00467460199999,4211
4210,99.0,0.00468238199999,4221
4220,99.0,0.00468925899999,4231
4230,99.0,0.00469795199999,4241
4240,99.0,0.00470530699999,4251
4250,99.0,0.00471348099999,4261
4260,99.0,0.00472048099999,4271
4270,99.0,0.00472737799999,4281
4280,99.0,0.00473436199999,4291
4290,99.0,0.00474212399999,4301
4300,99.0,0.00474803299999,4311
4310,99.0,0.00475560499999,4321
4320,99.0,0.00476320899999,4331
4330,99.0,0.00477512899999,4341
4340,99.0,0.00478833799999,4351
4350,99.0,0.00479526499999,4361
4360,99.0,0.00480929699999,4371
4370,99.0,0.00481657599999,4381
4380,99.0,0.00482424999999,4391
4390,99.0,0.00483169999999,4401
4400,99.0,0.00483880999999,4411
4410,99.0,0.00484618599999,4421
4420,99.0,0.00485665199999,4431
4430,99.0,0.00486439699999,4441
4440,99.0,0.00487016899999,4451
4450,99.0,0.00487633899999,4461
4460,99.0,0.00488280799999,4471
4470,99.0,0.00488965499999,4481
4480,99.0,0.00489778499999,4491
4490,99.0,0.00490923699999,4501
4500,99.0,0.00491729899999,4511
4510,99.0,0.00492545899999,4521
4520,99.0,0.00493186299999,4531
4530,99.0,0.00494301999999,4541
4540,99.0,0.00495434299999,4551
4550,99.0,0.00496411099999,4561
4560,99.0,0.00497083999999,4571
4570,99.0,0.00497685599999,4581
4580,99.0,0.00498407599999,4591
4590,99.0,0.00499053699999,4601
4600,99.0,0.00499612199999,4611
4610,99.0,0.00500351399999,4621
4620,99.0,0.00500952199999,4631
4630,99.0,0.00501681499999,4641
4640,99.0,0.00502296699999,4651
4650,99.0,0.00503039199999,4661
4660,99.0,0.00503955199999,4671
4670,99.0,0.00504542399999,4681
4680,99.0,0.00505116099999,4691
4690,99.0,0.00505987799999,4701
4700,99.0,0.00507153799999,4711
4710,99.0,0.00507959399999,4721
4720,99.0,0.00508776299999,4731
4730,99.0,0.00509538399999,4741
4740,99.0,0.00510233299999,4751
4750,99.0,0.00511028099999,4761
4760,99.0,0.00511671199999,4771
4770,99.0,0.00512386799999,4781
4780,99.0,0.00513108499999,4791
4790,99.0,0.00514966199998,4801
4800,99.0,0.00515744199998,4811
4810,99.0,0.00516892299998,4821
4820,99.0,0.00517677499998,4831
4830,99.0,0.00518491599999,4841
4840,99.0,0.00519203999998,4851
4850,99.0,0.00520069499998,4861
4860,99.0,0.00520659699998,4871
4870,99.0,0.00521472699999,4881
4880,99.0,0.00522234099999,4891
4890,99.0,0.00522913699999,4901
4900,99.0,0.00523626599998,4911
4910,99.0,0.00524328199998,4921
4920,99.0,0.00524887399998,4931
4930,99.0,0.00525654599998,4941
4940,99.0,0.00526425199998,4951
4950,99.0,0.00527507599998,4961
4960,99.0,0.00528278699998,4971
4970,99.0,0.00529126099998,4981
4980,99.0,0.00529816199998,4991
4990,99.0,0.00530582599998,5001
5000,99.0,0.00531253299999,5011
