iterations,fitness,time,fevals
0,65.0,0.001266201,0
10,62.0,0.004252426,10
20,64.0,0.006165504,20
30,69.0,0.007489744,30
40,71.0,0.00851873,40
50,72.0,0.009869057,50
60,73.0,0.010942126,60
70,74.0,0.012054121,70
80,75.0,0.013118688,80
90,75.0,0.014115881,90
100,76.0,0.015208057,100
110,77.0,0.016119664,110
120,78.0,0.017111729,120
130,79.0,0.017985851,130
140,78.0,0.020870693,140
150,80.0,0.022724576,150
160,77.0,0.024952517,160
170,78.0,0.026236235,170
180,76.0,0.027544214,180
190,80.0,0.029165311,190
200,80.0,0.030493351,200
210,79.0,0.032169039,210
220,80.0,0.044245911,220
230,80.0,0.047951314,230
240,81.0,0.062724911,240
250,82.0,0.064049624,250
260,81.0,0.065934929,260
270,80.0,0.067667726,270
280,81.0,0.069137324,280
290,82.0,0.070297667,290
300,80.0,0.071758787,300
310,80.0,0.074128366,310
320,83.0,0.076047598,320
330,84.0,0.078634793,330
340,84.0,0.080487654,340
350,84.0,0.082812485,350
360,87.0,0.084514025,360
370,86.0,0.085927024,370
380,85.0,0.086972193,380
390,87.0,0.088094938,390
400,86.0,0.089250444,400
410,85.0,0.090261377,410
420,82.0,0.091270402,420
430,84.0,0.092615989,430
440,84.0,0.094716199,440
450,84.0,0.097039567,450
460,83.0,0.099016652,460
470,85.0,0.100589597,470
480,85.0,0.103041858,480
490,84.0,0.105074439,490
500,87.0,0.107785162,500
510,83.0,0.109982468,510
520,84.0,0.111556586,520
530,82.0,0.112863688,530
540,84.0,0.114378628,540
550,84.0,0.116525746,550
560,82.0,0.118903883,560
570,83.0,0.120474901,570
580,81.0,0.122121677,580
590,82.0,0.123514195,590
600,83.0,0.127029688,600
610,83.0,0.128991013,610
620,81.0,0.130481459,620
630,81.0,0.13364182,630
640,83.0,0.134731215,640
650,81.0,0.135773315,650
660,81.0,0.137351324,660
670,82.0,0.13984132,670
680,83.0,0.14188853,680
690,80.0,0.143380743,690
700,84.0,0.147444747,700
710,84.0,0.152656463,710
720,85.0,0.154674015,720
730,87.0,0.156340612,730
740,89.0,0.158092186,740
750,89.0,0.159839102,750
760,88.0,0.16106026,760
770,85.0,0.164858938,770
780,88.0,0.16642166,780
790,86.0,0.168819841,790
800,85.0,0.170973612,800
810,86.0,0.174604025,810
820,87.0,0.176151944,820
830,89.0,0.17761172,830
840,84.0,0.17885606,840
850,86.0,0.179903104,850
860,83.0,0.180997945,860
870,82.0,0.182206018,870
880,81.0,0.183422909,880
890,84.0,0.187719854,890
900,83.0,0.189682622,900
910,83.0,0.190979793,910
920,84.0,0.192031861,920
930,81.0,0.194102597,930
940,83.0,0.195784297,940
950,84.0,0.199730021,950
960,82.0,0.201041671,960
970,83.0,0.202123644,970
980,85.0,0.20310457,980
990,85.0,0.205179168,990
1000,83.0,0.206771179,1000
1010,84.0,0.209328067,1010
1020,83.0,0.211263947,1020
1030,84.0,0.213180169,1030
1040,85.0,0.215349058,1040
1050,85.0,0.21682988,1050
1060,85.0,0.217987242,1060
1070,87.0,0.219658276,1070
1080,88.0,0.221126261,1080
1090,87.0,0.223320771,1090
1100,86.0,0.224816981,1100
1110,85.0,0.226436066,1110
1120,85.0,0.228085477,1120
1130,87.0,0.22944649,1130
1140,83.0,0.230794222,1140
1150,84.0,0.232848157,1150
1160,83.0,0.234538358,1160
1170,81.0,0.235875253,1170
1180,82.0,0.237121649,1180
1190,80.0,0.239432341,1190
1200,81.0,0.241291924,1200
1210,80.0,0.24567756,1210
1220,82.0,0.247614361,1220
1230,80.0,0.249167718,1230
1240,83.0,0.250568543,1240
1250,79.0,0.252095117,1250
1260,82.0,0.254329476,1260
1270,83.0,0.25597309,1270
1280,84.0,0.257661122,1280
1290,82.0,0.259384979,1290
1300,83.0,0.261244763,1300
1310,85.0,0.266536078,1310
1320,85.0,0.267885648,1320
1330,82.0,0.269274717,1330
1340,85.0,0.270748506,1340
1350,86.0,0.272258464,1350
1360,86.0,0.273356753,1360
1370,84.0,0.274346395,1370
1380,86.0,0.276035263,1380
1390,87.0,0.277876142,1390
1400,87.0,0.279353275,1400
1410,89.0,0.281141285,1410
1420,86.0,0.285502503,1420
