iterations,fitness,time,fevals
0,80.0,0.09449658,1
10,95.0,0.173278202,1
20,95.0,0.239224477,1
30,96.0,0.306383221,1
40,96.0,0.381215418,1
50,95.0,0.446567298,1
60,95.0,0.508129566,1
70,95.0,0.569654997,1
80,95.0,0.636663108,1
90,96.0,0.698948806,1
100,96.0,0.76236154,1
110,95.0,0.827049546,1
120,95.0,0.889572734,1
130,95.0,0.953775624,1
140,96.0,1.016970909,1
150,96.0,1.088178195,1
160,96.0,1.16217753,1
170,96.0,1.224905238,1
180,96.0,1.287448652,1
190,95.0,1.350848804,1
200,96.0,1.411338182,1
210,96.0,1.470984998,1
220,95.0,1.533732996,1
230,96.0,1.597616273,1
240,95.0,1.661599224,1
250,96.0,1.722287358,1
260,96.0,1.786859355,1
270,96.0,1.846168296,1
280,97.0,1.909502269,1
290,95.0,1.967412797,1
300,96.0,2.030684843,1
310,96.0,2.092839793,1
320,95.0,2.154204417,1
330,95.0,2.218106747,1
340,96.0,2.286888804,1
350,96.0,2.350604105,1
360,96.0,2.41262141,1
370,96.0,2.474156277,1
380,95.0,2.538232673,1
390,95.0,2.602710524,1
400,95.0,2.663835525,1
410,96.0,2.724566971,1
420,96.0,2.789007914,1
430,96.0,2.850944618,1
440,96.0,2.913904763,1
450,96.0,2.973659148,1
460,96.0,3.036718792,1
470,96.0,3.103124336,1
480,96.0,3.166566353,1
490,96.0,3.228850835,1
500,96.0,3.296106294,1
510,96.0,3.362937155,1
520,96.0,3.422815435,1
530,96.0,3.48532422,1
540,96.0,3.548544637,1
550,96.0,3.613778394,1
560,96.0,3.67487544,1
570,96.0,3.737491592,1
580,96.0,3.801094147,1
590,96.0,3.870019357,1
600,96.0,3.934844007,1
610,95.0,3.987507803,1
620,96.0,4.038768362,1
630,95.0,4.093615467,1
640,95.0,4.161078313,1
650,96.0,4.223352854,1
660,95.0,4.283982831,1
670,96.0,4.347351345,1
680,96.0,4.409638594,1
690,95.0,4.466528613,1
700,96.0,4.52944861,1
710,95.0,4.592394432,1
720,96.0,4.65613976,1
730,96.0,4.715831942,1
740,95.0,4.77868708,1
750,96.0,4.841383605,1
760,95.0,4.903806808,1
770,95.0,4.969472944,1
780,96.0,5.030933731,1
790,96.0,5.0923795,1
800,96.0,5.153171096,1
810,96.0,5.212802823,1
820,96.0,5.273501725,1
830,95.0,5.335933914,1
840,96.0,5.397312772,1
850,96.0,5.459092532,1
860,95.0,5.522681696,1
870,95.0,5.585839099,1
880,97.0,5.647888322,1
890,96.0,5.709089353,1
900,95.0,5.773778082,1
910,96.0,5.834568713,1
920,96.0,5.894652886,1
930,95.0,5.958332566,1
940,96.0,6.022750776,1
950,96.0,6.082475459,1
960,95.0,6.148133954,1
970,96.0,6.213788724,1
980,95.0,6.275891091,1
990,95.0,6.336916912,1
1000,96.0,6.395237278,1
1010,96.0,6.46315412,1
1020,95.0,6.532802462,1
1030,95.0,6.595815695,1
1040,96.0,6.662633481,1
1050,95.0,6.727620213,1
1060,96.0,6.78720433,1
1070,96.0,6.851782378,1
1080,96.0,6.914677555,1
1090,96.0,6.977465236,1
1100,96.0,7.041437908,1
1110,96.0,7.104426748,1
1120,95.0,7.166874049,1
1130,95.0,7.229425758,1
1140,96.0,7.292069057,1
1150,96.0,7.354659924,1
1160,96.0,7.418262043,1
1170,96.0,7.480664111,1
1180,96.0,7.542857784,1
1190,96.0,7.603730112,1
1200,95.0,7.665418997,1
1210,95.0,7.729124153,1
1220,95.0,7.793378991,1
1230,96.0,7.860521362,1
1240,95.0,7.924946603,1
1250,96.0,7.989292031,1
1260,97.0,8.051318253,1
1270,96.0,8.112264677,1
1280,96.0,8.173238238,1
1290,96.0,8.243955457,1
1300,95.0,8.308388863,1
1310,96.0,8.36888319,1
1320,96.0,8.430876843,1
1330,96.0,8.492749595,1
1340,95.0,8.554216772,1
1350,97.0,8.618358429,1
1360,96.0,8.685547222,1
1370,96.0,8.752838106,1
1380,96.0,8.814754664,1
1390,96.0,8.875793378,1
1400,96.0,8.937812313,1
1410,96.0,9.002791481,1
1420,95.0,9.065473026,1
1430,95.0,9.127307418,1
1440,95.0,9.190032509,1
1450,96.0,9.2547173,1
1460,96.0,9.315730473,1
1470,96.0,9.378982442,1
1480,95.0,9.444676677,1
1490,96.0,9.506309245,1
1500,96.0,9.568474415,1
1510,95.0,9.627769853,1
1520,95.0,9.689008916,1
1530,96.0,9.751381116,1
1540,96.0,9.812663038,1
1550,95.0,9.874809078,1
1560,96.0,9.940986889,1
1570,96.0,10.002308205,1
1580,96.0,10.066764929,1
1590,95.0,10.125712262,1
1600,96.0,10.183550377,1
1610,96.0,10.24517978,1
1620,96.0,10.30474646,1
1630,96.0,10.377353671,1
1640,96.0,10.457688282,1
1650,97.0,10.52326819,1
1660,96.0,10.586828788,1
1670,96.0,10.653045909,1
1680,96.0,10.71732532,1
1690,96.0,10.781199731,1
1700,96.0,10.851406218,1
1710,96.0,10.924547902,1
1720,96.0,10.997348853,1
1730,96.0,11.061818712,1
1740,96.0,11.13236399,1
1750,95.0,11.195962951,1
1760,95.0,11.256600163,1
1770,96.0,11.315381116,1
1780,95.0,11.375945307,1
1790,96.0,11.441263726,1
1800,96.0,11.503308736,1
1810,96.0,11.566359957,1
1820,96.0,11.630389011,1
1830,96.0,11.690290247,1
1840,96.0,11.755731417,1
1850,96.0,11.818746289,1
1860,96.0,11.8787905,1
1870,95.0,11.943640766,1
1880,96.0,12.007883718,1
1890,95.0,12.068890505,1
1900,96.0,12.129224483,1
1910,95.0,12.193305627,1
1920,96.0,12.254223573,1
1930,96.0,12.315205461,1
1940,96.0,12.376216322,1
1950,96.0,12.440848816,1
1960,96.0,12.504551395,1
1970,96.0,12.565898723,1
1980,96.0,12.629656097,1
1990,96.0,12.695300527,1
2000,96.0,12.755756343,1
2010,96.0,12.816919344,1
2020,96.0,12.877239688,1
2030,96.0,12.936830816,1
2040,96.0,13.000633801,1
2050,95.0,13.059294921,1
2060,96.0,13.121488403,1
2070,96.0,13.181411427,1
2080,96.0,13.241887116,1
2090,96.0,13.306388572,1
2100,96.0,13.372743785,1
2110,96.0,13.437765176,1
2120,97.0,13.503183142,1
2130,96.0,13.566216402,1
2140,96.0,13.628155972,1
2150,96.0,13.6913955,1
2160,95.0,13.755103957,1
2170,96.0,13.823817751,1
2180,96.0,13.891227453,1
2190,96.0,13.947459951,1
2200,95.0,13.997407117,1
2210,96.0,14.055044416,1
2220,96.0,14.119221057,1
2230,96.0,14.182626425,1
2240,95.0,14.243029503,1
2250,96.0,14.312880228,1
2260,95.0,14.385158433,1
2270,96.0,14.453216347,1
2280,96.0,14.519730681,1
2290,95.0,14.585197634,1
2300,96.0,14.648239855,1
2310,96.0,14.711709304,1
2320,96.0,14.777259732,1
2330,96.0,14.842293416,1
2340,96.0,14.903673897,1
2350,96.0,14.963232717,1
2360,96.0,15.02525497,1
2370,96.0,15.084771821,1
2380,96.0,15.146520762,1
2390,95.0,15.205838384,1
2400,95.0,15.270845228,1
2410,96.0,15.334775867,1
2420,96.0,15.395892378,1
2430,96.0,15.456535655,1
2440,96.0,15.523349223,1
2450,96.0,15.586200719,1
2460,96.0,15.649278104,1
2470,95.0,15.711793355,1
2480,96.0,15.782321633,1
2490,96.0,15.850706744,1
2500,96.0,15.913776333,1
2510,96.0,15.976304641,1
2520,96.0,16.039163657,1
2530,96.0,16.098856084,1
2540,96.0,16.160240977,1
2550,96.0,16.224012656,1
2560,95.0,16.286825644,1
2570,96.0,16.35104228,1
2580,95.0,16.413468301,1
2590,96.0,16.476465503,1
2600,95.0,16.540098611,1
2610,96.0,16.602712042,1
2620,96.0,16.663413632,1
2630,96.0,16.727609236,1
2640,96.0,16.788729031,1
2650,97.0,16.850114503,1
2660,97.0,16.910859333,1
2670,97.0,16.972800679,1
2680,97.0,17.033556658,1
2690,97.0,17.093942001,1
2700,96.0,17.154231419,1
2710,97.0,17.220351681,1
2720,96.0,17.282276032,1
2730,96.0,17.344026537,1
2740,97.0,17.405880651,1
2750,97.0,17.469300482,1
2760,97.0,17.531958197,1
2770,96.0,17.5948009,1
2780,97.0,17.658561767,1
2790,97.0,17.719754077,1
2800,96.0,17.781800797,1
2810,96.0,17.843293018,1
2820,97.0,17.906390906,1
2830,97.0,17.975359603,1
2840,97.0,18.037846981,1
2850,96.0,18.101350136,1
2860,97.0,18.163968414,1
2870,97.0,18.22580395,1
2880,97.0,18.293474998,1
2890,97.0,18.354164159,1
2900,97.0,18.414952089,1
2910,97.0,18.472045306,1
2920,97.0,18.532949613,1
2930,97.0,18.596681119,1
2940,97.0,18.660088803,1
2950,96.0,18.720215103,1
2960,97.0,18.782911108,1
2970,97.0,18.844141261,1
2980,96.0,18.904698727,1
2990,97.0,18.965496918,1
3000,97.0,19.025687273,1
3010,97.0,19.088858384,1
3020,96.0,19.14916514,1
3030,96.0,19.208969727,1
3040,96.0,19.274108291,1
3050,96.0,19.332021826,1
3060,97.0,19.389198201,1
3070,97.0,19.448113377,1
3080,97.0,19.51028918,1
3090,96.0,19.57066167,1
3100,97.0,19.631297273,1
3110,97.0,19.695601675,1
3120,97.0,19.75923416,1
3130,96.0,19.821655947,1
3140,96.0,19.880736829,1
3150,97.0,19.943546297,1
3160,97.0,20.005189758,1
3170,97.0,20.066414586,1
3180,96.0,20.126013531,1
3190,96.0,20.189445153,1
3200,97.0,20.256071733,1
3210,96.0,20.321264982,1
3220,97.0,20.382573156,1
3230,96.0,20.444016696,1
3240,97.0,20.50880357,1
3250,96.0,20.572231761,1
3260,96.0,20.637391926,1
3270,97.0,20.702756695,1
3280,97.0,20.767302109,1
3290,96.0,20.829205168,1
3300,96.0,20.898541455,1
3310,96.0,20.966832676,1
3320,97.0,21.036247531,1
3330,97.0,21.102218388,1
3340,96.0,21.164545025,1
3350,97.0,21.227607616,1
3360,97.0,21.288584436,1
3370,97.0,21.347318537,1
3380,97.0,21.410322786,1
3390,96.0,21.474863759,1
3400,96.0,21.540379316,1
3410,97.0,21.603950228,1
3420,97.0,21.667102578,1
3430,97.0,21.730707898,1
3440,97.0,21.79036359,1
3450,97.0,21.850460764,1
3460,96.0,21.910878462,1
3470,97.0,21.968902421,1
3480,97.0,22.032898783,1
3490,97.0,22.096283596,1
3500,96.0,22.159455598,1
3510,96.0,22.224590419,1
3520,97.0,22.283208359,1
3530,97.0,22.34343519,1
3540,97.0,22.406464681,1
3550,97.0,22.466040078,1
3560,97.0,22.525393466,1
3570,97.0,22.586398523,1
3580,97.0,22.649167759,1
3590,97.0,22.712652152,1
3600,97.0,22.776064689,1
3610,97.0,22.832232585,1
3620,97.0,22.894073256,1
3630,96.0,22.955125087,1
3640,96.0,23.018346613,1
3650,96.0,23.079089552,1
3660,97.0,23.145959066,1
3670,97.0,23.213569793,1
3680,97.0,23.278672417,1
3690,97.0,23.343579994,1
3700,97.0,23.406461493,1
3710,97.0,23.472547435,1
3720,96.0,23.541194004,1
3730,97.0,23.606239194,1
3740,96.0,23.672330286,1
3750,96.0,23.737454592,1
3760,97.0,23.802206865,1
3770,96.0,23.872143465,1
3780,96.0,23.939268633,1
3790,97.0,24.006687992,1
3800,96.0,24.070156134,1
3810,96.0,24.130307605,1
3820,97.0,24.193236366,1
3830,96.0,24.253397836,1
3840,97.0,24.3147847,1
3850,97.0,24.374837126,1
3860,97.0,24.432211249,1
3870,97.0,24.495358615,1
3880,98.0,24.558142711,1
3890,96.0,24.619838767,1
3900,96.0,24.679709329,1
3910,97.0,24.739818752,1
3920,97.0,24.79899465,1
3930,97.0,24.860649833,1
3940,97.0,24.919051297,1
3950,96.0,24.981473317,1
3960,96.0,25.040901895,1
3970,97.0,25.099972504,1
3980,96.0,25.163739839,1
3990,97.0,25.225693335,1
4000,97.0,25.287754184,1
4010,97.0,25.350720041,1
4020,96.0,25.414031459,1
4030,97.0,25.475540113,1
4040,96.0,25.538075738,1
4050,97.0,25.598315389,1
4060,97.0,25.659580164,1
4070,96.0,25.722043099,1
4080,96.0,25.784803552,1
4090,97.0,25.847810018,1
4100,96.0,25.907647182,1
4110,96.0,25.968085563,1
4120,97.0,26.034870953,1
4130,96.0,26.111207623,1
4140,97.0,26.188824696,1
4150,97.0,26.254998457,1
4160,97.0,26.322124569,1
4170,97.0,26.386291037,1
