iterations,fitness,time,fevals
0,62.0,1.27689999999e-05,0
10,62.0,1.89279999999e-05,10
20,64.0,2.41009999998e-05,20
30,67.0,2.92669999998e-05,30
40,68.0,3.41149999998e-05,40
50,69.0,3.89459999998e-05,50
60,70.0,4.64369999998e-05,60
70,72.0,5.33549999998e-05,70
80,73.0,5.85549999998e-05,80
90,73.0,6.48379999998e-05,90
100,74.0,7.10499999997e-05,100
110,74.0,7.59439999998e-05,110
120,74.0,8.09869999998e-05,120
130,76.0,9.27039999998e-05,130
140,78.0,9.97249999999e-05,140
150,79.0,0.000105535,150
160,80.0,0.000110418,160
170,83.0,0.000116866,170
180,84.0,0.000122227,180
190,84.0,0.000127376,190
200,85.0,0.000137318,200
210,85.0,0.000143318,210
220,85.0,0.000149874,220
230,86.0,0.000155266,230
240,87.0,0.000159872,240
250,88.0,0.000164255,250
260,89.0,0.000168747,260
270,91.0,0.000173306,270
280,91.0,0.000179237,280
290,91.0,0.000184178,290
300,92.0,0.000188724,300
310,92.0,0.000193336,310
320,93.0,0.000200486,320
330,93.0,0.000205705,330
340,93.0,0.000210356,340
350,93.0,0.000215147,350
360,94.0,0.000220002,360
370,94.0,0.000224441,370
380,94.0,0.000228934,380
390,94.0,0.000233224,390
400,95.0,0.000237752,400
410,95.0,0.000242158,410
420,95.0,0.00024788,420
430,95.0,0.000252009,430
440,95.0,0.000258361,440
450,95.0,0.000263279,450
460,95.0,0.000269028,460
470,95.0,0.000274451,470
480,95.0,0.000279771,480
490,95.0,0.000285847,490
500,95.0,0.000293732,500
510,95.0,0.000308856,510
520,95.0,0.000314737,520
530,95.0,0.000319883,530
540,95.0,0.000331021,540
550,96.0,0.000342108,550
560,96.0,0.000351559,560
570,96.0,0.000362048,570
580,96.0,0.000369426,580
590,96.0,0.000378241,590
600,96.0,0.000385596,600
610,96.0,0.000390804,610
620,97.0,0.000396379,620
630,97.0,0.000404004,630
640,97.0,0.000419223,640
650,97.0,0.000425885,650
660,97.0,0.000433623,660
670,97.0,0.000441643,670
680,98.0,0.00044815,680
690,98.0,0.000453959,690
700,98.0,0.000459133,700
710,98.0,0.000463683,710
720,98.0,0.000476102,720
730,98.0,0.000484809,730
740,98.0,0.000491326,740
750,98.0,0.00049825,750
760,98.0,0.000505743,760
770,98.0,0.000511209,770
780,98.0,0.000517975,780
790,98.0,0.000525521,790
800,98.0,0.000531229,800
810,98.0,0.000537443,810
820,98.0,0.000543097,820
830,98.0,0.000551817,830
840,98.0,0.000561201,840
850,98.0,0.000568139,850
860,98.0,0.000573988,860
870,98.0,0.000579462,870
880,98.0,0.000585262,880
890,99.0,0.000591961,890
900,99.0,0.000596585,900
910,99.0,0.00060066,910
920,99.0,0.000605208,920
