iterations,fitness,time,fevals
0,63.0,2.2974e-05,0
10,64.0,3.7705e-05,10
20,64.0,4.98150000001e-05,20
30,66.0,6.88290000002e-05,30
40,68.0,7.83070000001e-05,40
50,71.0,8.83280000001e-05,50
60,71.0,9.60910000001e-05,60
70,72.0,0.000104144,70
80,74.0,0.000127656,80
90,75.0,0.00014532,90
100,76.0,0.000172763,100
110,76.0,0.000181347,110
120,76.0,0.0001907,120
130,76.0,0.000200567,130
140,76.0,0.000208263,140
150,78.0,0.000230011,150
160,78.0,0.000237419,160
170,80.0,0.00024793,170
180,81.0,0.000257811,180
190,82.0,0.000271414,190
200,84.0,0.000282374,200
210,84.0,0.000295861,210
220,84.0,0.000308243,220
230,85.0,0.000318107,230
240,85.0,0.000327282,240
250,85.0,0.000371123,250
260,87.0,0.000377593,260
270,89.0,0.000384653,270
280,90.0,0.000392682,280
290,90.0,0.000404382,290
300,92.0,0.000414106,300
310,92.0,0.000428974,310
320,93.0,0.000439333,320
330,93.0,0.000448724,330
340,93.0,0.00046504,340
350,93.0,0.000472078,350
360,93.0,0.000487938,360
370,93.0,0.000500178,370
380,95.0,0.000509971,380
390,96.0,0.000524101,390
400,96.0,0.000536911,400
410,96.0,0.000552956,410
420,96.0,0.000568503,420
430,96.0,0.00058396,430
440,96.0,0.000599308,440
450,97.0,0.000612301,450
460,97.0,0.000630107,460
470,97.0,0.000644069,470
480,97.0,0.000657529,480
490,97.0,0.000672742,490
500,98.0,0.000685703,500
510,98.0,0.00070173,510
520,98.0,0.000717257,520
530,98.0,0.000731021,530
540,98.0,0.00074776,540
550,98.0,0.000761777,550
560,98.0,0.000774937,560
570,99.0,0.000790415,570
580,99.0,0.000806484,580
590,99.0,0.00082201,590
600,99.0,0.000836614,600
610,99.0,0.000851497,610
620,99.0,0.000866012,620
630,99.0,0.000879767,630
640,99.0,0.000895044,640
650,99.0,0.000910632,650
660,99.0,0.000945448,660
670,99.0,0.00099781,670
680,100.0,0.001012905,680
690,100.0,0.001026897,690
700,100.0,0.001042461,700
710,100.0,0.001057344,710
720,100.0,0.001071083,720
730,100.0,0.00108618,730
740,100.0,0.001111832,740
750,100.0,0.001130333,750
760,100.0,0.001143777,760
770,100.0,0.001158991,770
780,100.0,0.001174781,780
790,100.0,0.001189945,790
800,100.0,0.001207188,800
810,100.0,0.001224056,810
820,100.0,0.001264133,820
830,100.0,0.001279737,830
840,100.0,0.001293691,840
850,100.0,0.00130754,850
860,100.0,0.001321878,860
870,100.0,0.001337356,870
880,100.0,0.001351307,880
890,100.0,0.001384091,890
900,100.0,0.001398238,900
910,100.0,0.001443116,910
920,100.0,0.001459605,920
930,100.0,0.001491698,930
940,100.0,0.001505128,940
950,100.0,0.001520312,950
960,100.0,0.001562708,960
970,100.0,0.001579319,970
980,100.0,0.001594358,980
990,100.0,0.001608565,990
1000,100.0,0.001625318,1000
1010,100.0,0.001641307,1010
1020,100.0,0.001671474,1020
1030,100.0,0.001688301,1030
1040,100.0,0.001705021,1040
1050,100.0,0.001735924,1050
1060,100.0,0.001750288,1060
1070,100.0,0.001766655,1070
1080,100.0,0.001779784,1080
1090,100.0,0.00179499,1090
1100,100.0,0.001808636,1100
1110,100.0,0.00182141,1110
1120,100.0,0.001839557,1120
1130,100.0,0.001856063,1130
1140,100.0,0.001869896,1140
1150,100.0,0.001886802,1150
1160,100.0,0.001903648,1160
1170,100.0,0.001927636,1170
1180,100.0,0.001940735,1180
1190,100.0,0.001957092,1190
1200,100.0,0.001973103,1200
1210,100.0,0.001988227,1210
1220,100.0,0.00200222,1220
1230,100.0,0.002019105,1230
1240,100.0,0.002067713,1240
1250,100.0,0.002083262,1250
1260,100.0,0.002101058,1260
1270,100.0,0.00211727,1270
1280,100.0,0.002130826,1280
1290,100.0,0.002155951,1290
1300,100.0,0.002170964,1300
1310,100.0,0.002186446,1310
1320,100.0,0.002202507,1320
1330,100.0,0.002217884,1330
1340,100.0,0.002231511,1340
1350,100.0,0.002246798,1350
1360,100.0,0.002262657,1360
1370,100.0,0.002307674,1370
1380,100.0,0.002321956,1380
1390,100.0,0.002338154,1390
1400,100.0,0.002353537,1400
1410,100.0,0.002366477,1410
1420,100.0,0.002380921,1420
1430,100.0,0.002400563,1430
1440,100.0,0.00241632,1440
1450,100.0,0.00243717,1450
1460,100.0,0.002453736,1460
1470,100.0,0.002467943,1470
1480,100.0,0.002483441,1480
1490,100.0,0.002501159,1490
1500,100.0,0.002515674,1500
1510,100.0,0.00253817,1510
1520,100.0,0.002551258,1520
1530,100.0,0.002564605,1530
1540,100.0,0.002578677,1540
1550,100.0,0.002594346,1550
1560,100.0,0.002610729,1560
1570,100.0,0.002628517,1570
1580,100.0,0.002644305,1580
1590,100.0,0.00266024,1590
1600,100.0,0.002678226,1600
1610,100.0,0.002697486,1610
1620,100.0,0.002717817,1620
1630,100.0,0.002738063,1630
1640,100.0,0.00275505,1640
1650,100.0,0.002772044,1650
1660,100.0,0.002797272,1660
1670,100.0,0.002814247,1670
1680,100.0,0.002834081,1680
1690,100.0,0.002855027,1690
1700,100.0,0.002874974,1700
1710,100.0,0.002892205,1710
1720,100.0,0.002913219,1720
1730,100.0,0.002932981,1730
1740,100.0,0.002951159,1740
1750,100.0,0.002980191,1750
1760,100.0,0.003020589,1760
1770,100.0,0.00304735,1770
1780,100.0,0.003066611,1780
1790,100.0,0.003082188,1790
1800,100.0,0.003096819,1800
1810,100.0,0.003112508,1810
1820,100.0,0.003152305,1820
1830,100.0,0.003168768,1830
1840,100.0,0.003185312,1840
1850,100.0,0.00319965,1850
1860,100.0,0.003218906,1860
1870,100.0,0.00323455,1870
1880,100.0,0.003274207,1880
1890,100.0,0.003289313,1890
1900,100.0,0.003303905,1900
1910,100.0,0.003319408,1910
1920,100.0,0.003336013,1920
1930,100.0,0.003352031,1930
1940,100.0,0.003368499,1940
1950,100.0,0.003399652,1950
1960,100.0,0.003414421,1960
1970,100.0,0.003440951,1970
1980,100.0,0.003463774,1980
1990,100.0,0.003479443,1990
2000,100.0,0.003494874,2000
2010,100.0,0.003510344,2010
2020,100.0,0.003525839,2020
2030,100.0,0.003542075,2030
2040,100.0,0.003558174,2040
2050,100.0,0.00357302,2050
2060,100.0,0.003587777,2060
2070,100.0,0.003604766,2070
2080,100.0,0.003621747,2080
2090,100.0,0.003638982,2090
2100,100.0,0.003653744,2100
2110,100.0,0.003681193,2110
2120,100.0,0.003695561,2120
2130,100.0,0.003711404,2130
2140,100.0,0.003726042,2140
2150,100.0,0.003741977,2150
2160,100.0,0.003755453,2160
2170,100.0,0.003771196,2170
2180,100.0,0.00379634,2180
2190,100.0,0.003811849,2190
2200,100.0,0.003827263,2200
2210,100.0,0.003842471,2210
2220,100.0,0.003858433,2220
2230,100.0,0.00387354,2230
2240,100.0,0.003887203,2240
2250,100.0,0.003899939,2250
2260,100.0,0.003914364,2260
2270,100.0,0.003928796,2270
2280,100.0,0.003942927,2280
2290,100.0,0.003958349,2290
2300,100.0,0.003972123,2300
2310,100.0,0.003988685,2310
2320,100.0,0.00400448,2320
2330,100.0,0.004019832,2330
2340,100.0,0.004035122,2340
2350,100.0,0.004049567,2350
2360,100.0,0.00406483,2360
2370,100.0,0.004081091,2370
2380,100.0,0.004096222,2380
2390,100.0,0.004112436,2390
2400,100.0,0.00412804,2400
2410,100.0,0.00415813,2410
2420,100.0,0.004174936,2420
2430,100.0,0.004190997,2430
2440,100.0,0.004206248,2440
2450,100.0,0.004218966,2450
2460,100.0,0.004232457,2460
2470,100.0,0.004248735,2470
2480,100.0,0.004264934,2480
2490,100.0,0.004280055,2490
2500,100.0,0.004293237,2500
2510,100.0,0.004306824,2510
2520,100.0,0.004322699,2520
2530,100.0,0.004338884,2530
2540,100.0,0.004355531,2540
2550,100.0,0.004368555,2550
2560,100.0,0.004397293,2560
2570,100.0,0.004424771,2570
2580,100.0,0.004438059,2580
2590,100.0,0.004450977,2590
2600,100.0,0.004465921,2600
2610,100.0,0.004478928,2610
2620,100.0,0.004492245,2620
2630,100.0,0.004504801,2630
2640,100.0,0.004518305,2640
2650,100.0,0.004532963,2650
2660,100.0,0.004556485,2660
2670,100.0,0.004569777,2670
2680,100.0,0.004585366,2680
2690,100.0,0.004597874,2690
2700,100.0,0.004612931,2700
2710,100.0,0.004627001,2710
2720,100.0,0.004640602,2720
2730,100.0,0.00465455,2730
2740,100.0,0.004667496,2740
2750,100.0,0.004679838,2750
2760,100.0,0.00469305,2760
2770,100.0,0.004706369,2770
2780,100.0,0.00471893,2780
2790,100.0,0.004731268,2790
2800,100.0,0.004744984,2800
2810,100.0,0.004759681,2810
2820,100.0,0.00477472,2820
2830,100.0,0.004788671,2830
2840,100.0,0.004803249,2840
2850,100.0,0.004820533,2850
2860,100.0,0.004836462,2860
2870,100.0,0.004852614,2870
2880,100.0,0.004873073,2880
2890,100.0,0.004890552,2890
2900,100.0,0.004906075,2900
2910,100.0,0.004919794,2910
2920,100.0,0.004933434,2920
2930,100.0,0.004946106,2930
2940,100.0,0.0049589,2940
2950,100.0,0.004972486,2950
2960,100.0,0.004985678,2960
2970,100.0,0.004998858,2970
2980,100.0,0.005012451,2980
2990,100.0,0.005025782,2990
3000,100.0,0.005040959,3000
3010,100.0,0.005055166,3010
3020,100.0,0.005070113,3020
3030,100.0,0.005090195,3030
3040,100.0,0.005118632,3040
3050,100.0,0.005132849,3050
3060,100.0,0.005149264,3060
3070,100.0,0.005190659,3070
3080,100.0,0.005209196,3080
3090,100.0,0.005228341,3090
3100,100.0,0.005247605,3100
3110,100.0,0.005263568,3110
3120,100.0,0.005289008,3120
3130,100.0,0.005317502,3130
3140,100.0,0.005339162,3140
3150,100.0,0.005355718,3150
3160,100.0,0.005376573,3160
3170,100.0,0.005397792,3170
3180,100.0,0.00541024,3180
3190,100.0,0.005440213,3190
3200,100.0,0.005456465,3200
3210,100.0,0.005470616,3210
3220,100.0,0.005492496,3220
3230,100.0,0.005506831,3230
3240,100.0,0.005535309,3240
3250,100.0,0.005560206,3250
3260,100.0,0.005574796,3260
3270,100.0,0.005608549,3270
3280,100.0,0.005625361,3280
3290,100.0,0.005643474,3290
3300,100.0,0.005659865,3300
3310,100.0,0.005675787,3310
3320,100.0,0.005709108,3320
3330,100.0,0.005723374,3330
3340,100.0,0.005739221,3340
3350,100.0,0.005755033,3350
3360,100.0,0.005770479,3360
3370,100.0,0.005783104,3370
3380,100.0,0.005798497,3380
3390,100.0,0.00582126,3390
3400,100.0,0.005837167,3400
3410,100.0,0.005852036,3410
3420,100.0,0.005867458,3420
3430,100.0,0.005880127,3430
3440,100.0,0.005892838,3440
3450,100.0,0.005907854,3450
3460,100.0,0.005921795,3460
3470,100.0,0.005935553,3470
3480,100.0,0.005948287,3480
3490,100.0,0.005961328,3490
3500,100.0,0.005973882,3500
3510,100.0,0.005988828,3510
3520,100.0,0.006002262,3520
3530,100.0,0.006018251,3530
3540,100.0,0.0060348,3540
3550,100.0,0.00605062,3550
3560,100.0,0.006064879,3560
3570,100.0,0.006080251,3570
3580,100.0,0.006093838,3580
3590,100.0,0.006107942,3590
3600,100.0,0.006123032,3600
3610,100.0,0.006138336,3610
3620,100.0,0.006152368,3620
3630,100.0,0.006168111,3630
3640,100.0,0.006183044,3640
3650,100.0,0.006199775,3650
3660,100.0,0.00621341,3660
3670,100.0,0.006228616,3670
3680,100.0,0.006243011,3680
3690,100.0,0.006256091,3690
3700,100.0,0.006269956,3700
3710,100.0,0.006283581,3710
3720,100.0,0.00629872,3720
3730,100.0,0.006313894,3730
3740,100.0,0.00632883,3740
3750,100.0,0.006344755,3750
3760,100.0,0.00635733,3760
3770,100.0,0.006371436,3770
3780,100.0,0.006383646,3780
3790,100.0,0.006395959,3790
3800,100.0,0.006408195,3800
3810,100.0,0.006420393,3810
3820,100.0,0.006432632,3820
3830,100.0,0.006445589,3830
3840,100.0,0.006458357,3840
3850,100.0,0.00647067,3850
3860,100.0,0.006485889,3860
3870,100.0,0.006498407,3870
3880,100.0,0.006510828,3880
3890,100.0,0.006523087,3890
3900,100.0,0.006535278,3900
3910,100.0,0.006548518,3910
3920,100.0,0.006563021,3920
3930,100.0,0.006576721,3930
3940,100.0,0.006589245,3940
3950,100.0,0.006602207,3950
3960,100.0,0.006614688,3960
3970,100.0,0.006626968,3970
3980,100.0,0.006639068,3980
3990,100.0,0.006651254,3990
4000,100.0,0.006663574,4000
4010,100.0,0.006675692,4010
4020,100.0,0.006687833,4020
4030,100.0,0.006700953,4030
4040,100.0,0.006713265,4040
4050,100.0,0.006725403,4050
4060,100.0,0.006737585,4060
4070,100.0,0.006749797,4070
4080,100.0,0.006762106,4080
4090,100.0,0.006774199,4090
4100,100.0,0.00678656,4100
4110,100.0,0.006798926,4110
4120,100.0,0.006812764,4120
4130,100.0,0.006827874,4130
4140,100.0,0.006841779,4140
4150,100.0,0.006855305,4150
4160,100.0,0.006872002,4160
4170,100.0,0.006886922,4170
4180,100.0,0.006899761,4180
4190,100.0,0.006913004,4190
4200,100.0,0.006925394,4200
4210,100.0,0.00693759,4210
4220,100.0,0.006949938,4220
4230,100.0,0.006963696,4230
4240,100.0,0.006976664,4240
4250,100.0,0.006988927,4250
4260,100.0,0.007001181,4260
4270,100.0,0.007013578,4270
4280,100.0,0.00702847,4280
4290,100.0,0.007041278,4290
4300,100.0,0.007053707,4300
4310,100.0,0.007066029,4310
4320,100.0,0.007078486,4320
4330,100.0,0.00709077,4330
4340,100.0,0.007103454,4340
4350,100.0,0.007115942,4350
4360,100.0,0.007128189,4360
4370,100.0,0.007140285,4370
4380,100.0,0.007152526,4380
4390,100.0,0.00716463,4390
4400,100.0,0.007176724,4400
4410,100.0,0.007188786,4410
4420,100.0,0.007200908,4420
4430,100.0,0.007213054,4430
4440,100.0,0.007225312,4440
4450,100.0,0.007237557,4450
4460,100.0,0.007249798,4460
4470,100.0,0.007262015,4470
4480,100.0,0.00727419,4480
4490,100.0,0.007286348,4490
4500,100.0,0.007298695,4500
4510,100.0,0.007311079,4510
4520,100.0,0.007323229,4520
4530,100.0,0.007335095,4530
4540,100.0,0.007347029,4540
4550,100.0,0.007360595,4550
4560,100.0,0.007372449,4560
4570,100.0,0.007384506,4570
4580,100.0,0.00739634,4580
4590,100.0,0.007408106,4590
4600,100.0,0.007419916,4600
4610,100.0,0.007431714,4610
4620,100.0,0.007443617,4620
4630,100.0,0.007455682,4630
4640,100.0,0.007467461,4640
4650,100.0,0.007479347,4650
4660,100.0,0.00749124,4660
4670,100.0,0.00750313,4670
4680,100.0,0.007515049,4680
4690,100.0,0.007526958,4690
4700,100.0,0.007538774,4700
4710,100.0,0.007550628,4710
4720,100.0,0.00756249,4720
4730,100.0,0.007581838,4730
4740,100.0,0.007594046,4740
4750,100.0,0.007606011,4750
4760,100.0,0.007618016,4760
4770,100.0,0.007629836,4770
4780,100.0,0.007641531,4780
4790,100.0,0.007653244,4790
4800,100.0,0.007665045,4800
4810,100.0,0.007676708,4810
4820,100.0,0.007688356,4820
4830,100.0,0.007700113,4830
4840,100.0,0.00771231,4840
4850,100.0,0.00772449,4850
4860,100.0,0.007736492,4860
4870,100.0,0.007748395,4870
4880,100.0,0.007760163,4880
4890,100.0,0.007772325,4890
4900,100.0,0.007784032,4900
4910,100.0,0.007795871,4910
4920,100.0,0.007807863,4920
4930,100.0,0.007819683,4930
4940,100.0,0.00783154,4940
4950,100.0,0.007843504,4950
4960,100.0,0.007855384,4960
4970,100.0,0.007866982,4970
4980,100.0,0.007878879,4980
4990,100.0,0.007890655,4990
5000,100.0,0.007902509,5000
