iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.0493318437186,0.0604814256168,0.0476052862938,0.894691035683,0.873043478261,0.90264255911,0.032,0.0759493670886,0.0540540540541,82.464462961
10,0.0137075722314,0.0139130434783,0.0139082058414,0.972584856397,0.972173913043,0.972183588317,0,0,0,650.630519525
20,0.0137075718077,0.0147826086827,0.0139082058426,0.972584856397,0.970434782609,0.972183588317,0,0,0,1121.83662478
30,0.0137075718016,0.0139130434783,0.0139082058414,0.972584856397,0.972173913043,0.972183588317,0,0,0,1642.4434981
40,0.0137075718016,0.0139130434783,0.0139082058414,0.972584856397,0.972173913043,0.972183588317,0,0,0,2088.91294219
50,0.0137075718016,0.0139130434783,0.0139082058414,0.972584856397,0.972173913043,0.972183588317,0,0,0,2560.56904915
60,0.0137075718016,0.0139130434783,0.0139082058414,0.972584856397,0.972173913043,0.972183588317,0,0,0,3034.97406038
70,0.0137075718015,0.0139130434783,0.0139082058414,0.972584856397,0.972173913043,0.972183588317,0,0,0,3534.23492978
80,0.0137075718016,0.0139130434783,0.0139082058414,0.972584856397,0.972173913043,0.972183588317,0,0,0,4013.05668325
90,0.0137075718016,0.0139130434783,0.0139082058414,0.972584856397,0.972173913043,0.972183588317,0,0,0,4484.81321008
100,0.0137075718016,0.0139130434783,0.0139082058414,0.972584856397,0.972173913043,0.972183588317,0,0,0,4950.38036515
