iterations,fitness,time,fevals
0,0.0238548835239,1.155605318,1000
10,0.0248109248271,2.298797874,2100
20,0.0268415090591,3.449086637,3200
30,0.0258557554949,4.603536782,4300
40,0.0261900603853,5.809030887,5400
50,0.0260582308227,7.066882709,6500
60,0.0260397473222,8.414495697,7600
70,0.0257745233354,9.725908676,8700
80,0.0265863554641,11.035980076,9800
90,0.0261066408433,12.403608519,10900
100,0.0261049117796,13.782875533,12000
110,0.0264177122812,15.274036532,13100
120,0.0259190931774,16.740813171,14200
130,0.0256883791946,18.195561143,15300
140,0.0263667612068,19.69025068,16400
150,0.0260249027031,21.205974458,17500
160,0.0262132091845,22.684542662,18600
170,0.0262297239608,24.212155098,19700
180,0.0269635347875,25.704907789,20800
190,0.0261438024257,27.161894767,21900
200,0.0261348322124,28.611613038,23000
210,0.026163256586,30.13565639,24100
220,0.0259170485103,31.686840211,25200
230,0.0266591631942,33.189071822,26300
240,0.0273487823979,34.707561057,27400
250,0.0275973189289,36.239342375,28500
260,0.0275796838077,37.749213779,29600
270,0.0275024882381,39.284377411,30700
280,0.0276089308317,40.801057715,31800
290,0.0272428073309,42.298385014,32900
300,0.0277206340894,43.763866374,34000
310,0.0272898704102,45.390325389,35100
320,0.0274730371419,46.859699845,36200
330,0.0273649726928,48.261587648,37300
340,0.0280560139043,49.637845377,38400
350,0.0276476166804,50.98428494,39500
360,0.0278545802433,52.310374131,40600
370,0.0276193687872,53.608652381,41700
380,0.0276309404236,54.884351836,42800
390,0.0278940222046,56.133932743,43900
400,0.0274144403002,57.398113194,45000
410,0.0278107665029,58.611367691,46100
420,0.0276719344381,59.818857382,47200
430,0.0275834398687,61.005126445,48300
440,0.0277958418242,62.239236842,49400
450,0.0275881617575,63.384765345,50500
460,0.0275955289496,64.514406638,51600
470,0.0273992186657,65.653384787,52700
480,0.0276447686575,66.789816171,53800
490,0.0276380899266,68.002683114,54900
500,0.0275752772034,69.125413807,56000
510,0.027557716337,70.295864726,57100
520,0.0275980316523,71.421062114,58200
530,0.0271981723877,72.531290068,59300
540,0.0273245233482,73.641575707,60400
550,0.0281425646233,74.770945028,61500
560,0.0283607533244,75.886017575,62600
570,0.0286025069812,77.070740705,63700
580,0.0286632478583,78.18890695,64800
590,0.0288063529895,79.307640264,65900
600,0.0288403149702,80.428382782,67000
610,0.0290390517224,81.559573027,68100
620,0.0287127109096,82.685632224,69200
630,0.0284828850701,83.797599365,70300
640,0.0286420870998,84.930521326,71400
650,0.0282818660811,86.051702234,72500
660,0.0285945020193,87.170303429,73600
670,0.0285208545125,88.28297083,74700
680,0.0283725637229,89.3856542,75800
690,0.0285714095239,90.492776584,76900
700,0.028690694168,91.644430228,78000
710,0.0294124479776,92.79931267,79100
720,0.0293997915457,93.904321555,80200
730,0.0294374984174,95.012429421,81300
740,0.0291252312679,96.190861385,82400
750,0.029189440795,97.306417012,83500
760,0.0293470030084,98.420663206,84600
770,0.0290926841247,99.542193527,85700
780,0.0293692098228,100.669793212,86800
790,0.0301020200008,101.793896994,87900
800,0.0293797565746,102.932483367,89000
810,0.0299760317205,104.053149543,90100
820,0.0296600307072,105.164622945,91200
830,0.0298412681481,106.291928805,92300
840,0.0300271789398,107.405523185,93400
850,0.0295056962192,108.526414817,94500
860,0.0295281837316,109.642053974,95600
870,0.0296043958152,110.763825556,96700
880,0.0292446548741,111.915242469,97800
890,0.0294619109682,113.06431247,98900
900,0.0294603002938,114.236011178,100000
910,0.0291788982842,115.380464196,101100
920,0.0294731245551,116.535441601,102200
930,0.0301402192671,117.646302924,103300
940,0.029883391012,118.753502641,104400
950,0.0292963128529,119.864339783,105500
960,0.0292539892625,120.978069834,106600
970,0.0296821008218,122.083095291,107700
980,0.0298635291781,123.189217543,108800
990,0.0292412278322,124.298442369,109900
1000,0.0292536619692,125.40312678,111000
1010,0.0294219706618,126.524909893,112100
1020,0.0301533038786,127.709933303,113200
1030,0.0296025274923,128.923175443,114300
1040,0.0299067217304,130.075143226,115400
1050,0.0297217526094,131.215591514,116500
1060,0.0296137761904,132.321988282,117600
1070,0.0295156671947,133.44129079,118700
1080,0.030100369521,134.556715649,119800
1090,0.0301557139795,135.668198842,120900
1100,0.0296765356742,136.78035349,122000
1110,0.0297286671703,137.909755712,123100
1120,0.029737626301,139.04038903,124200
1130,0.0297349360162,140.169909665,125300
1140,0.0299636223601,141.404110684,126400
1150,0.0298427685551,142.595718469,127500
1160,0.0296834985765,143.76143756,128600
1170,0.0298651189074,144.938992692,129700
1180,0.0295278584295,146.096785542,130800
1190,0.0295873092459,147.279362319,131900
1200,0.0295982520902,148.469788815,133000
1210,0.0299642549991,149.654711058,134100
1220,0.0297362478148,150.836953358,135200
1230,0.0300646144704,152.026984844,136300
1240,0.0297903305083,153.241174815,137400
1250,0.0299192528973,154.458526841,138500
1260,0.0296489987953,155.682954069,139600
1270,0.030046113619,156.929805417,140700
1280,0.030664847304,158.16222891,141800
1290,0.029798945279,159.378939596,142900
1300,0.0299407702327,160.619463925,144000
1310,0.0299171250341,161.834872914,145100
1320,0.0298337877327,163.048622731,146200
1330,0.0298949611829,164.263716857,147300
1340,0.0300396553327,165.485271488,148400
1350,0.0299348612585,166.702410204,149500
1360,0.0295569473729,167.920013717,150600
1370,0.0300533446215,169.128766893,151700
1380,0.0299641598624,170.353047355,152800
1390,0.0298175061487,171.567931713,153900
1400,0.0295892890968,172.7552425,155000
1410,0.0297428264232,173.950356638,156100
1420,0.0296786906476,175.166460218,157200
1430,0.0311803858053,176.341437049,158300
1440,0.0296802976752,177.493096663,159400
1450,0.0297371110065,178.620999109,160500
1460,0.0300903768593,179.752853872,161600
1470,0.0299930107001,181.048193064,162700
1480,0.0305003153271,182.19785972,163800
1490,0.0301851938171,183.335998271,164900
1500,0.0300112599826,184.542578119,166000
1510,0.0302276492792,185.759272319,167100
1520,0.0297983038977,186.942168328,168200
1530,0.0298877212774,188.119633727,169300
1540,0.0299641598624,189.273829323,170400
1550,0.0298535256544,190.465978306,171500
1560,0.0297183757374,191.64221947,172600
1570,0.0299621567885,192.825523351,173700
1580,0.0298747646259,194.040929964,174800
1590,0.0296343069571,195.255355713,175900
1600,0.029813371422,196.473361764,177000
1610,0.0299775989142,197.693326456,178100
1620,0.0300571064267,198.992153346,179200
1630,0.0299709801375,200.212171173,180300
1640,0.0304518483352,201.424509486,181400
1650,0.0298305392179,202.639282807,182500
1660,0.0299232149693,203.850795726,183600
1670,0.0296200552028,205.067404799,184700
1680,0.0299607102839,206.280129235,185800
1690,0.0297048778746,207.529272259,186900
1700,0.0295280945405,208.750401932,188000
1710,0.0306415746077,209.963761765,189100
1720,0.0296788094101,211.181106556,190200
1730,0.0301334214738,212.38950523,191300
1740,0.0297701830004,213.584712896,192400
1750,0.0302406713673,214.810630063,193500
1760,0.0295946837339,216.005248605,194600
1770,0.0303579819503,217.198605421,195700
1780,0.0299174097015,218.385099659,196800
1790,0.0296695663357,219.585675622,197900
1800,0.0298609356957,220.749377831,199000
1810,0.0299591541329,221.908107362,200100
1820,0.0303893582668,223.075318621,201200
1830,0.0299879334599,224.258529237,202300
1840,0.0300680617305,225.447594062,203400
1850,0.0297876672094,226.650061558,204500
1860,0.0302747720662,227.885877395,205600
1870,0.0296052451067,229.107137379,206700
1880,0.0298773786541,230.310662367,207800
1890,0.0297362638552,231.508319359,208900
1900,0.0299556510685,232.720217326,210000
1910,0.0296765710353,234.067589234,211100
1920,0.0300892541167,235.366660167,212200
1930,0.0302656290137,236.583615069,213300
1940,0.0302386893742,237.80158177,214400
1950,0.0296788338291,239.018510814,215500
1960,0.0296814455397,240.25217861,216600
1970,0.0307406844744,241.46475833,217700
1980,0.0296396590358,242.678454145,218800
1990,0.0297964139062,243.891353806,219900
2000,0.0301238859898,245.11415579,221000
2010,0.0296485002005,246.324439068,222100
2020,0.0297289318959,247.52031683,223200
2030,0.0295189342357,248.705542128,224300
2040,0.0299361000189,249.89272256,225400
2050,0.029663684991,251.05327091,226500
2060,0.0296826091029,252.213116059,227600
2070,0.0299343137064,253.368181483,228700
2080,0.0295318803834,254.514126614,229800
2090,0.029686274226,255.64872459,230900
2100,0.0298797205139,256.780372404,232000
2110,0.0301685405915,257.91836812,233100
2120,0.0297327198945,259.089715832,234200
2130,0.0300458497557,260.221015742,235300
2140,0.0299192528973,261.357036265,236400
2150,0.0297534948817,262.497010487,237500
2160,0.0298104782155,263.632709309,238600
2170,0.0294887534871,264.779365396,239700
2180,0.0298893729503,265.942642123,240800
2190,0.0298791755611,267.077806179,241900
2200,0.0301021809059,268.220071134,243000
2210,0.0300282218301,269.346176316,244100
2220,0.0294433275895,270.487743532,245200
2230,0.0296530150824,271.806072792,246300
2240,0.0299324601428,273.166250344,247400
2250,0.0298923532017,274.31695738,248500
2260,0.0306337120102,275.488104303,249600
2270,0.0298905141934,276.654456627,250700
2280,0.0295239686028,277.893157357,251800
2290,0.0298545286666,279.156639755,252900
2300,0.0298001445099,280.371705949,254000
2310,0.0297241486147,281.593588502,255100
2320,0.0307716856475,282.811184186,256200
2330,0.0299921700239,284.029182408,257300
2340,0.0319448052152,285.254321824,258400
2350,0.0304874406219,286.474911734,259500
2360,0.0307116816632,287.69327737,260600
2370,0.0306587461293,288.904475209,261700
2380,0.0306475730308,290.120086768,262800
2390,0.0309917296346,291.344803202,263900
2400,0.0301340725723,292.570290789,265000
2410,0.0310855083519,293.765558671,266100
2420,0.0305306289905,294.979598889,267200
2430,0.0304947828237,296.168882193,268300
